스크린점유율,상영점유율,좌석점유율,좌석판매율,누적관객수,순위,관람객평점,평론가평점,최종관객수
43.50%,65.40%,73.10%,38.30%,"625,666",1,8.59,6.92,"10,494,314"
44.60%,66.00%,73.70%,38.60%,"1,275,470",1,8.59,6.92,"10,494,314"
44.50%,68.20%,75.80%,63.70%,"2,431,231",1,8.59,6.92,"10,494,314"
45.10%,68.30%,75.80%,57.40%,"3,444,438",1,8.59,6.92,"10,494,314"
44.80%,66.20%,74.10%,18.30%,"3,739,563",1,8.59,6.92,"10,494,314"
57.10%,80.80%,85.00%,65.60%,"1,339,353",1,9.5,7.62,"13,934,592"
55.00%,78.40%,83.30%,41.30%,"2,171,533",1,9.5,7.62,"13,934,592"
56.20%,79.70%,84.40%,50.20%,"3,218,224",1,9.5,7.62,"13,934,592"
55.90%,79.30%,83.70%,77.00%,"4,880,693",1,9.5,7.62,"13,934,592"
56.40%,79.30%,83.50%,67.70%,"6,308,048",1,9.5,7.62,"13,934,592"
17.40%,13.10%,15.90%,25.20%,"79,954",1,8.75,7.75,"7,074,867"
27.80%,34.50%,42.50%,25.60%,"294,059",1,8.75,7.75,"7,074,867"
28.90%,35.50%,43.90%,30.60%,"567,603",1,8.75,7.75,"7,074,867"
30.30%,38.40%,46.70%,55.00%,"1,122,082",1,8.75,7.75,"7,074,867"
30.80%,38.90%,47.10%,52.60%,"1,639,329",1,8.75,7.75,"7,074,867"
46.30%,72.80%,78.90%,49.80%,"980,666",1,9.08,7.09,"11,211,745"
47.80%,73.50%,79.60%,29.80%,"1,576,334",1,9.08,7.09,"11,211,745"
49.30%,75.20%,81.10%,35.50%,"2,316,242",1,9.08,7.09,"11,211,745"
49.20%,77.10%,82.60%,59.90%,"3,649,549",1,9.08,7.09,"11,211,745"
49.70%,77.40%,82.90%,51.10%,"4,764,495",1,9.08,7.09,"11,211,745"
16.90%,19.20%,23.40%,15.30%,"73,267",1,8.27,6.0,"991,417"
16.70%,18.70%,23.20%,15.90%,"152,106",2,8.27,6.0,"991,417"
16.10%,17.80%,21.30%,38.80%,"344,475",2,8.27,6.0,"991,417"
16.30%,17.80%,21.00%,39.20%,"527,328",2,8.27,6.0,"991,417"
16.20%,18.70%,22.80%,10.70%,"575,937",2,8.27,6.0,"991,417"
40.00%,61.00%,69.30%,23.40%,"461,758",1,8.45,6.86,"5,801,069"
38.10%,61.10%,69.40%,16.00%,"774,452",1,8.45,6.86,"5,801,069"
37.90%,61.10%,69.40%,20.70%,"1,187,520",1,8.45,6.86,"5,801,069"
36.10%,62.10%,70.20%,47.40%,"2,189,232",1,8.45,6.86,"5,801,069"
36.30%,62.00%,70.20%,41.00%,"3,036,626",1,8.45,6.86,"5,801,069"
40.40%,63.40%,71.30%,43.50%,"729,213",1,8.83,7.5,"8,677,249"
40.00%,62.70%,70.80%,28.30%,"1,203,236",1,8.83,7.5,"8,677,249"
40.50%,63.60%,71.50%,37.10%,"1,842,209",1,8.83,7.5,"8,677,249"
42.70%,68.20%,75.70%,61.00%,"2,984,718",1,8.83,7.5,"8,677,249"
42.90%,68.40%,75.80%,51.90%,"3,934,515",1,8.83,7.5,"8,677,249"
24.90%,35.70%,42.60%,18.90%,"167,719",1,8.83,7.28,"3,963,251"
27.30%,38.80%,45.90%,14.40%,"303,558",1,8.83,7.28,"3,963,251"
27.90%,39.10%,46.40%,21.40%,"514,685",1,8.83,7.28,"3,963,251"
27.10%,40.50%,48.20%,47.10%,"1,029,421",1,8.83,7.28,"3,963,251"
28.00%,40.80%,48.50%,41.90%,"1,473,941",1,8.83,7.28,"3,963,251"
17.30%,22.40%,26.90%,18.40%,"115,427",1,8.35,6.46,"3,039,889"
18.10%,23.50%,28.50%,16.50%,"225,467",1,8.35,6.46,"3,039,889"
18.90%,24.40%,29.70%,20.50%,"371,361",1,8.35,6.46,"3,039,889"
19.30%,26.30%,32.00%,44.80%,"736,454",1,8.35,6.46,"3,039,889"
19.60%,26.50%,32.20%,39.80%,"1,053,070",1,8.35,6.46,"3,039,889"
29.70%,47.90%,56.70%,27.10%,"418,252",1,9.03,6.13,"4,857,152"
28.40%,46.80%,55.30%,14.50%,"635,475",1,9.03,6.13,"4,857,152"
28.70%,47.00%,55.70%,20.40%,"951,974",1,9.03,6.13,"4,857,152"
28.90%,48.60%,57.20%,39.90%,"1,614,620",1,9.03,6.13,"4,857,152"
28.50%,48.30%,57.00%,36.90%,"2,214,586",1,9.03,6.13,"4,857,152"
16.20%,23.50%,30.10%,14.10%,"81,996",1,7.33,5.82,"1,694,529"
16.00%,23.60%,30.30%,15.60%,"177,100",1,7.33,5.82,"1,694,529"
13.90%,23.40%,30.20%,35.70%,"411,605",1,7.33,5.82,"1,694,529"
14.00%,23.50%,30.30%,34.80%,"631,652",1,7.33,5.82,"1,694,529"
16.90%,24.70%,31.20%,8.60%,"682,644",1,7.33,5.82,"1,694,529"
10.20%,13.70%,14.90%,19.30%,"63,354",4,7.81,6.22,"514,261"
10.20%,13.50%,14.60%,19.60%,"127,535",4,7.81,6.22,"514,261"
10.10%,13.10%,13.60%,33.20%,"232,410",4,7.81,6.22,"514,261"
10.00%,12.90%,13.40%,29.80%,"322,828",4,7.81,6.22,"514,261"
9.90%,12.80%,13.30%,18.50%,"377,609",6,7.81,6.22,"514,261"
32.90%,50.20%,58.50%,24.30%,"406,945",1,8.85,6.13,"5,447,706"
32.70%,50.40%,58.70%,17.90%,"706,595",1,8.85,6.13,"5,447,706"
33.30%,51.60%,60.10%,23.10%,"1,110,148",1,8.85,6.13,"5,447,706"
33.60%,54.40%,63.00%,43.00%,"1,931,917",1,8.85,6.13,"5,447,706"
33.60%,54.30%,63.00%,37.10%,"2,626,042",1,8.85,6.13,"5,447,706"
18.50%,30.10%,36.80%,18.70%,"176,365",1,8.71,7.09,"2,841,699"
18.90%,30.60%,37.40%,22.60%,"396,365",1,8.71,7.09,"2,841,699"
19.10%,32.80%,39.70%,45.40%,"885,137",1,8.71,7.09,"2,841,699"
19.00%,32.70%,39.70%,40.90%,"1,314,502",1,8.71,7.09,"2,841,699"
19.90%,31.90%,39.10%,10.80%,"1,419,546",1,8.71,7.09,"2,841,699"
34.60%,52.30%,60.90%,34.20%,"423,201",1,8.86,7.53,"9,001,331"
35.00%,53.00%,61.70%,37.60%,"909,838",1,8.86,7.53,"9,001,331"
36.20%,55.60%,64.00%,62.70%,"1,804,215",1,8.86,7.53,"9,001,331"
37.00%,56.10%,64.30%,59.20%,"2,625,256",1,8.86,7.53,"9,001,331"
35.90%,54.10%,62.80%,22.20%,"2,907,527",1,8.86,7.53,"9,001,331"
26.30%,35.10%,42.40%,28.30%,"254,749",1,7.37,5.47,"4,424,183"
26.70%,35.00%,42.60%,30.50%,"539,350",1,7.37,5.47,"4,424,183"
29.40%,37.30%,45.20%,56.60%,"1,127,816",1,7.37,5.47,"4,424,183"
29.40%,37.10%,45.10%,53.30%,"1,657,987",1,7.37,5.47,"4,424,183"
27.00%,36.40%,44.60%,14.00%,"1,784,194",1,7.37,5.47,"4,424,183"
21.60%,26.60%,34.00%,23.50%,"155,577",1,8.93,6.13,"4,290,816"
22.20%,25.50%,32.50%,35.60%,"392,073",1,8.93,6.13,"4,290,816"
