스크린점유율,상영점유율,좌석점유율,좌석판매율,누적관객수,순위,관람객평점,평론가평점,최종관객수
0.396,0.578,0.658,0.32,0.399,0.05,0.442,0.35,1.1519234335334778
0.39,0.579,0.658,0.237,0.723,0.05,0.442,0.35,1.1519234335334778
0.396,0.585,0.664,0.304,1.152,0.05,0.442,0.35,1.1519234335334778
0.411,0.623,0.697,0.566,2.031,0.05,0.442,0.35,1.1519234335334778
0.416,0.63,0.703,0.507,2.807,0.05,0.442,0.35,1.1519234335334778
0.263,0.351,0.424,0.283,0.162,0.05,0.368,0.273,0.6988456521322105
0.267,0.35,0.426,0.305,0.389,0.05,0.368,0.273,0.6988456521322105
0.294,0.373,0.452,0.566,0.859,0.05,0.368,0.273,0.6988456521322105
0.294,0.371,0.451,0.533,1.283,0.05,0.368,0.273,0.6988456521322105
0.27,0.364,0.446,0.14,1.384,0.05,0.368,0.273,0.6988456521322105
0.435,0.654,0.731,0.383,0.458,0.05,0.43,0.346,1.6692157915939305
0.446,0.66,0.737,0.386,0.977,0.05,0.43,0.346,1.6692157915939305
0.445,0.682,0.758,0.637,1.901,0.05,0.43,0.346,1.6692157915939305
0.451,0.683,0.758,0.574,2.711,0.05,0.43,0.346,1.6692157915939305
0.448,0.662,0.741,0.183,2.947,0.05,0.43,0.346,1.6692157915939305
0.132,0.146,0.127,0.394,0.056,0.2,0.432,0.398,0.20120310511743303
0.14,0.145,0.126,0.399,0.155,0.2,0.432,0.398,0.20120310511743303
0.134,0.138,0.119,0.577,0.295,0.2,0.432,0.398,0.20120310511743303
0.131,0.13,0.113,0.574,0.425,0.2,0.432,0.398,0.20120310511743303
0.134,0.138,0.118,0.358,0.506,0.15,0.432,0.398,0.20120310511743303
0.4,0.61,0.693,0.234,0.327,0.05,0.422,0.343,0.9189544207638742
0.381,0.611,0.694,0.16,0.577,0.05,0.422,0.343,0.9189544207638742
0.379,0.611,0.694,0.207,0.907,0.05,0.422,0.343,0.9189544207638742
0.361,0.621,0.702,0.474,1.708,0.05,0.422,0.343,0.9189544207638742
0.363,0.62,0.702,0.41,2.385,0.05,0.422,0.343,0.9189544207638742
0.162,0.235,0.301,0.141,0.024,0.05,0.366,0.291,0.2624836143669231
0.16,0.236,0.303,0.156,0.1,0.05,0.366,0.291,0.2624836143669231
0.139,0.234,0.302,0.357,0.287,0.05,0.366,0.291,0.2624836143669231
0.14,0.235,0.303,0.348,0.463,0.05,0.366,0.291,0.2624836143669231
0.169,0.247,0.312,0.086,0.504,0.05,0.366,0.291,0.2624836143669231
0.102,0.137,0.149,0.193,0.009,0.2,0.39,0.311,0.07380616675299098
0.102,0.135,0.146,0.196,0.06,0.2,0.39,0.311,0.07380616675299098
0.101,0.131,0.136,0.332,0.144,0.2,0.39,0.311,0.07380616675299098
0.1,0.129,0.134,0.298,0.216,0.2,0.39,0.311,0.07380616675299098
0.099,0.128,0.133,0.185,0.26,0.3,0.39,0.311,0.07380616675299098
0.165,0.15,0.173,0.309,0.077,0.05,0.452,0.312,0.42892839558275303
0.188,0.292,0.362,0.393,0.414,0.05,0.452,0.312,0.42892839558275303
0.182,0.29,0.36,0.253,0.629,0.05,0.452,0.312,0.42892839558275303
0.178,0.277,0.337,0.362,0.928,0.05,0.452,0.312,0.42892839558275303
0.169,0.262,0.321,0.294,1.157,0.1,0.452,0.312,0.42892839558275303
0.571,0.808,0.85,0.656,1.029,0.05,0.475,0.381,2.219178064672895
0.55,0.784,0.833,0.413,1.694,0.05,0.475,0.381,2.219178064672895
0.562,0.797,0.844,0.502,2.53,0.05,0.475,0.381,2.219178064672895
0.559,0.793,0.837,0.77,3.859,0.05,0.475,0.381,2.219178064672895
0.564,0.793,0.835,0.677,5.0,0.05,0.475,0.381,2.219178064672895
0.173,0.224,0.269,0.184,0.05,0.05,0.418,0.323,0.4775526418436315
0.181,0.235,0.285,0.165,0.138,0.05,0.418,0.323,0.4775526418436315
0.189,0.244,0.297,0.205,0.255,0.05,0.418,0.323,0.4775526418436315
0.193,0.263,0.32,0.448,0.547,0.05,0.418,0.323,0.4775526418436315
0.196,0.265,0.322,0.398,0.8,0.05,0.418,0.323,0.4775526418436315
0.192,0.176,0.205,0.222,0.053,0.1,0.444,0.352,0.8621340009080039
0.334,0.523,0.604,0.266,0.4,0.05,0.444,0.352,0.8621340009080039
0.33,0.52,0.603,0.14,0.583,0.05,0.444,0.352,0.8621340009080039
0.33,0.518,0.603,0.202,0.855,0.05,0.444,0.352,0.8621340009080039
0.317,0.511,0.593,0.398,1.409,0.05,0.444,0.352,0.8621340009080039
0.174,0.131,0.159,0.252,0.022,0.05,0.438,0.388,1.1225835587357005
0.278,0.345,0.425,0.256,0.193,0.05,0.438,0.388,1.1225835587357005
0.289,0.355,0.439,0.306,0.412,0.05,0.438,0.388,1.1225835587357005
0.303,0.384,0.467,0.55,0.855,0.05,0.438,0.388,1.1225835587357005
0.308,0.389,0.471,0.526,1.268,0.05,0.438,0.388,1.1225835587357005
0.346,0.523,0.609,0.342,0.296,0.05,0.443,0.376,1.4305477757102572
0.35,0.53,0.617,0.376,0.685,0.05,0.443,0.376,1.4305477757102572
0.362,0.556,0.64,0.627,1.4,0.05,0.443,0.376,1.4305477757102572
0.37,0.561,0.643,0.592,2.056,0.05,0.443,0.376,1.4305477757102572
0.359,0.541,0.628,0.222,2.282,0.05,0.443,0.376,1.4305477757102572
0.249,0.357,0.426,0.189,0.092,0.05,0.442,0.364,0.6251611387135759
0.273,0.388,0.459,0.144,0.201,0.05,0.442,0.364,0.6251611387135759
0.279,0.391,0.464,0.214,0.369,0.05,0.442,0.364,0.6251611387135759
0.271,0.405,0.482,0.471,0.781,0.05,0.442,0.364,0.6251611387135759
0.28,0.408,0.485,0.419,1.136,0.05,0.442,0.364,0.6251611387135759
0.404,0.634,0.713,0.435,0.541,0.05,0.442,0.375,1.3787400806972447
0.4,0.627,0.708,0.283,0.92,0.05,0.442,0.375,1.3787400806972447
0.405,0.636,0.715,0.371,1.43,0.05,0.442,0.375,1.3787400806972447
0.427,0.682,0.757,0.61,2.344,0.05,0.442,0.375,1.3787400806972447
0.429,0.684,0.758,0.519,3.103,0.05,0.442,0.375,1.3787400806972447
0.297,0.479,0.567,0.271,0.292,0.05,0.451,0.306,0.7680600049876268
0.284,0.468,0.553,0.145,0.466,0.05,0.451,0.306,0.7680600049876268
0.287,0.47,0.557,0.204,0.719,0.05,0.451,0.306,0.7680600049876268
0.289,0.486,0.572,0.399,1.249,0.05,0.451,0.306,0.7680600049876268
0.285,0.483,0.57,0.369,1.728,0.05,0.451,0.306,0.7680600049876268
0.216,0.266,0.34,0.235,0.082,0.05,0.446,0.306,0.677525625531534
0.222,0.255,0.325,0.356,0.271,0.05,0.446,0.306,0.677525625531534
0.215,0.26,0.333,0.248,0.405,0.05,0.446,0.306,0.677525625531534
0.231,0.263,0.336,0.475,0.683,0.05,0.446,0.306,0.677525625531534
0.238,0.269,0.341,0.57,1.008,0.05,0.446,0.306,0.677525625531534
0.185,0.301,0.368,0.187,0.099,0.05,0.436,0.354,0.44587002116544217
0.189,0.306,0.374,0.226,0.275,0.05,0.436,0.354,0.44587002116544217
0.191,0.328,0.397,0.454,0.665,0.05,0.436,0.354,0.44587002116544217
