날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2014-07-31,497,13.2%,"2,164",14.6%,"309,619",12.7%,39.4%,"121,866","122,871",4,8.64,7.96
2014-08-01,539,14.0%,"2,195",14.5%,"311,351",12.6%,39.9%,"124,167","247,038",4,8.64,7.96
2014-08-02,530,13.4%,"2,134",13.8%,"302,276",11.9%,57.7%,"174,421","421,459",4,8.64,7.96
2014-08-03,521,13.1%,"1,996",13.0%,"282,806",11.3%,57.4%,"162,223","583,682",4,8.64,7.96
2014-08-04,492,13.4%,"2,046",13.8%,"285,929",11.8%,35.8%,"102,440","686,122",3,8.64,7.96
2014-08-05,487,12.8%,"1,957",13.2%,"274,392",11.3%,32.6%,"89,337","775,459",3,8.64,7.96
2014-08-06,344,8.7%,892,5.9%,"124,608",5.1%,33.3%,"41,487","816,946",4,8.64,7.96
2014-08-07,344,8.2%,844,5.6%,"118,146",4.8%,33.7%,"39,837","856,783",4,8.64,7.96
2014-08-08,337,8.1%,832,5.4%,"115,877",4.7%,40.4%,"46,786","903,569",4,8.64,7.96
2014-08-09,334,7.9%,818,5.2%,"113,055",4.4%,62.2%,"70,273","973,842",4,8.64,7.96
2014-08-10,331,7.9%,805,5.2%,"111,084",4.4%,55.8%,"61,952","1,035,794",4,8.64,7.96
2014-08-11,347,8.7%,926,6.3%,"127,146",5.3%,29.8%,"37,945","1,073,739",3,8.64,7.96
2014-08-12,354,8.6%,905,6.1%,"124,370",5.2%,30.6%,"38,012","1,111,751",3,8.64,7.96
2014-08-13,135,3.4%,294,1.9%,"35,133",1.4%,38.9%,"13,669","1,125,420",6,8.64,7.96
2014-08-14,130,3.1%,293,1.9%,"35,279",1.4%,49.0%,"17,295","1,142,715",7,8.64,7.96
2014-08-15,136,3.2%,294,1.8%,"35,338",1.3%,70.1%,"24,775","1,167,490",8,8.64,7.96
2014-08-16,141,3.2%,289,1.8%,"35,038",1.3%,66.9%,"23,432","1,190,922",7,8.64,7.96
2014-08-17,145,3.4%,312,2.0%,"38,319",1.5%,59.9%,"22,967","1,213,889",7,8.64,7.96
2014-08-18,143,3.7%,358,2.4%,"46,320",1.9%,31.3%,"14,509","1,228,398",6,8.64,7.96
2014-08-19,143,3.5%,357,2.4%,"45,542",1.9%,30.5%,"13,897","1,242,295",6,8.64,7.96
2014-08-20,64,1.5%,147,1.0%,"20,756",0.9%,28.7%,"5,959","1,248,254",13,8.64,7.96
2014-08-21,56,1.2%,125,0.8%,"18,784",0.8%,28.4%,"5,342","1,253,596",13,8.64,7.96
2014-08-22,59,1.2%,140,0.9%,"21,298",0.9%,30.9%,"6,589","1,260,185",12,8.64,7.96
2014-08-23,64,1.3%,151,1.0%,"22,400",0.9%,51.8%,"11,607","1,271,792",12,8.64,7.96
2014-08-24,66,1.3%,149,1.0%,"21,363",0.9%,47.4%,"10,118","1,281,910",12,8.64,7.96
2014-08-25,64,1.4%,162,1.1%,"23,327",1.0%,19.2%,"4,479","1,286,389",10,8.64,7.96
2014-08-26,70,1.5%,160,1.1%,"23,474",1.0%,18.9%,"4,444","1,290,833",9,8.64,7.96
2014-08-27,57,1.3%,154,1.1%,"23,190",1.0%,21.3%,"4,937","1,295,770",10,8.64,7.96
2014-08-28,38,0.9%,75,0.5%,"10,108",0.4%,14.5%,"1,468","1,297,238",15,8.64,7.96
2014-08-29,37,0.8%,77,0.5%,"10,581",0.4%,16.8%,"1,778","1,299,016",13,8.64,7.96
2014-08-30,33,0.7%,80,0.5%,"9,052",0.3%,38.8%,"3,514","1,302,530",13,8.64,7.96
2014-08-31,35,0.7%,77,0.5%,"8,691",0.3%,37.5%,"3,255","1,305,785",12,8.64,7.96
2014-09-01,34,0.8%,69,0.5%,"8,714",0.4%,11.8%,"1,026","1,306,811",12,8.64,7.96
2014-09-02,34,0.8%,69,0.5%,"8,673",0.4%,12.8%,"1,107","1,307,918",12,8.64,7.96
2014-09-03,2,0.0%,3,0.0%,270,0.0%,26.3%,71,"1,307,989",44,8.64,7.96
2014-09-04,2,0.0%,3,0.0%,270,0.0%,46.7%,126,"1,308,115",35,8.64,7.96
2014-09-05,2,0.0%,4,0.0%,462,0.0%,42.6%,197,"1,308,312",27,8.64,7.96
2014-09-06,5,0.1%,9,0.1%,"1,246",0.0%,36.7%,457,"1,308,769",21,8.64,7.96
2014-09-07,6,0.1%,10,0.1%,"1,412",0.1%,28.3%,400,"1,309,169",21,8.64,7.96
2014-09-08,7,0.1%,10,0.1%,"1,473",0.1%,34.1%,502,"1,309,671",21,8.64,7.96
2014-09-09,6,0.1%,9,0.1%,"1,251",0.0%,52.0%,651,"1,310,322",21,8.64,7.96
2014-09-10,6,0.1%,9,0.1%,"1,279",0.0%,38.4%,491,"1,310,813",21,8.64,7.96
2014-09-11,1,0.0%,2,0.0%,200,0.0%,23.0%,46,"1,310,859",48,8.64,7.96
2014-09-12,1,0.0%,2,0.0%,200,0.0%,22.5%,45,"1,310,904",46,8.64,7.96
2014-09-13,1,0.0%,1,0.0%,100,0.0%,75.0%,75,"1,310,979",41,8.64,7.96
2014-09-14,1,0.0%,1,0.0%,100,0.0%,96.0%,96,"1,311,075",34,8.64,7.96
2014-09-15,1,0.0%,1,0.0%,100,0.0%,32.0%,32,"1,311,107",44,8.64,7.96
2014-09-16,1,0.0%,1,0.0%,100,0.0%,31.0%,31,"1,311,138",53,8.64,7.96
2014-09-17,1,0.0%,1,0.0%,100,0.0%,28.0%,28,"1,311,166",63,8.64,7.96
2014-09-18,1,0.0%,1,0.0%,121,0.0%,9.9%,12,"1,311,178",73,8.64,7.96
2014-09-19,1,0.0%,1,0.0%,121,0.0%,9.9%,12,"1,311,190",71,8.64,7.96
