날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2017-05-02,"1,033",16.5%,"2,563",15.0%,"479,677",17.3%,30.9%,"148,071","148,489",1,9.05,6.25
2017-05-03,"1,166",18.8%,"5,365",29.2%,"1,075,636",36.2%,39.3%,"422,412","570,901",1,9.05,6.25
2017-05-04,"1,154",18.2%,"5,308",29.0%,"1,064,818",36.0%,25.3%,"269,106","840,007",1,9.05,6.25
2017-05-05,"1,218",17.8%,"5,221",27.7%,"1,031,281",33.7%,36.2%,"373,681","1,213,688",1,9.05,6.25
2017-05-06,"1,133",16.9%,"4,914",26.2%,"975,645",32.1%,29.4%,"286,689","1,500,377",2,9.05,6.25
2017-05-07,"1,084",16.4%,"4,619",25.2%,"912,944",30.7%,24.5%,"223,461","1,723,838",2,9.05,6.25
2017-05-08,999,17.9%,"4,445",25.8%,"867,482",30.7%,11.8%,"102,201","1,826,039",2,9.05,6.25
2017-05-09,748,12.2%,"2,884",15.8%,"514,837",17.3%,35.6%,"183,247","2,009,286",4,9.05,6.25
2017-05-10,692,13.6%,"2,726",16.5%,"476,484",17.6%,9.8%,"46,708","2,055,994",3,9.05,6.25
2017-05-11,694,12.9%,"2,665",16.0%,"463,353",17.0%,9.5%,"43,911","2,099,905",3,9.05,6.25
2017-05-12,683,12.5%,"2,715",15.9%,"472,357",16.9%,13.9%,"65,437","2,165,342",3,9.05,6.25
2017-05-13,734,12.0%,"2,649",14.6%,"436,034",14.7%,32.1%,"140,079","2,305,421",4,9.05,6.25
2017-05-14,720,11.8%,"2,552",14.4%,"421,023",14.5%,28.6%,"120,264","2,425,685",4,9.05,6.25
2017-05-15,672,13.1%,"2,588",16.0%,"445,032",16.7%,8.5%,"37,940","2,463,625",3,9.05,6.25
2017-05-16,672,13.1%,"2,578",16.2%,"443,743",16.9%,7.2%,"31,765","2,495,390",3,9.05,6.25
2017-05-17,473,9.4%,"1,221",7.3%,"176,979",6.5%,11.9%,"21,142","2,516,532",6,9.05,6.25
2017-05-18,465,8.5%,"1,112",6.7%,"161,395",5.9%,10.9%,"17,631","2,534,163",6,9.05,6.25
2017-05-19,473,8.4%,"1,124",6.6%,"161,819",5.7%,16.2%,"26,219","2,560,382",6,9.05,6.25
2017-05-20,490,8.0%,"1,089",5.9%,"151,556",5.0%,35.8%,"54,193","2,614,575",7,9.05,6.25
2017-05-21,498,8.2%,"1,101",6.1%,"153,277",5.2%,32.1%,"49,239","2,663,814",6,9.05,6.25
2017-05-22,462,8.9%,"1,080",6.6%,"155,300",5.7%,9.2%,"14,274","2,678,088",6,9.05,6.25
2017-05-23,458,8.6%,"1,075",6.6%,"155,864",5.8%,8.0%,"12,409","2,690,497",6,9.05,6.25
2017-05-24,242,4.9%,464,2.9%,"63,788",2.4%,8.9%,"5,708","2,696,205",8,9.05,6.25
2017-05-25,167,3.3%,255,1.5%,"34,479",1.3%,11.2%,"3,854","2,700,059",9,9.05,6.25
2017-05-26,168,3.3%,259,1.5%,"34,626",1.2%,14.9%,"5,146","2,705,205",8,9.05,6.25
2017-05-27,145,2.6%,209,1.2%,"28,669",1.0%,30.6%,"8,768","2,713,973",7,9.05,6.25
2017-05-28,139,2.5%,204,1.2%,"28,196",1.0%,29.6%,"8,350","2,722,323",7,9.05,6.25
2017-05-29,159,3.3%,259,1.6%,"36,194",1.3%,8.8%,"3,177","2,725,500",8,9.05,6.25
2017-05-30,155,3.1%,258,1.6%,"36,116",1.3%,8.8%,"3,192","2,728,692",8,9.05,6.25
2017-05-31,33,0.7%,43,0.3%,"5,812",0.2%,21.9%,"1,271","2,729,963",12,9.05,6.25
2017-06-01,30,0.6%,35,0.2%,"5,056",0.2%,10.1%,511,"2,730,474",17,9.05,6.25
2017-06-02,33,0.7%,36,0.2%,"5,650",0.2%,12.2%,687,"2,731,161",15,9.05,6.25
2017-06-03,25,0.5%,29,0.2%,"4,033",0.1%,22.0%,889,"2,732,050",15,9.05,6.25
2017-06-04,26,0.5%,31,0.2%,"4,378",0.2%,22.7%,994,"2,733,044",15,9.05,6.25
2017-06-05,26,0.5%,36,0.2%,"5,112",0.2%,15.9%,814,"2,733,858",16,9.05,6.25
2017-06-06,7,0.1%,11,0.1%,991,0.0%,43.1%,427,"2,734,285",21,9.05,6.25
2017-06-07,7,0.2%,14,0.1%,"1,513",0.1%,10.2%,154,"2,734,439",31,9.05,6.25
2017-06-08,4,0.1%,5,0.0%,"1,512",0.1%,6.8%,103,"2,734,542",44,9.05,6.25
2017-06-09,3,0.1%,4,0.0%,705,0.0%,7.9%,56,"2,734,598",53,9.05,6.25
2017-06-10,3,0.1%,4,0.0%,638,0.0%,27.7%,177,"2,734,775",35,9.05,6.25
2017-06-11,4,0.1%,5,0.0%,"1,027",0.0%,16.5%,169,"2,734,944",33,9.05,6.25
2017-06-12,4,0.1%,4,0.0%,"1,016",0.0%,4.7%,48,"2,734,992",48,9.05,6.25
2017-06-13,5,0.1%,7,0.0%,"1,001",0.0%,11.4%,114,"2,735,106",45,9.05,6.25
2017-06-14,3,0.1%,5,0.0%,671,0.0%,15.5%,104,"2,735,210",42,9.05,6.25
2017-06-15,1,0.0%,1,0.0%,127,0.0%,16.5%,21,"2,735,231",66,9.05,6.25
2017-06-16,1,0.0%,1,0.0%,127,0.0%,15.7%,20,"2,735,251",66,9.05,6.25
2017-06-17,1,0.0%,1,0.0%,127,0.0%,33.1%,42,"2,735,293",59,9.05,6.25
2017-06-18,1,0.0%,1,0.0%,132,0.0%,31.8%,42,"2,735,335",61,9.05,6.25
2017-06-19,1,0.0%,1,0.0%,127,0.0%,18.9%,24,"2,735,359",61,9.05,6.25
2017-06-20,1,0.0%,1,0.0%,127,0.0%,23.6%,30,"2,735,389",66,9.05,6.25
2017-06-21,1,0.0%,1,0.0%,127,0.0%,18.1%,23,"2,735,412",73,9.05,6.25
2017-06-22,1,0.0%,1,0.0%,127,0.0%,34.6%,44,"2,735,456",66,9.05,6.25
2017-06-23,1,0.0%,1,0.0%,127,0.0%,18.1%,23,"2,735,479",70,9.05,6.25
2017-06-24,1,0.0%,1,0.0%,127,0.0%,32.3%,41,"2,735,520",73,9.05,6.25
2017-06-25,1,0.0%,1,0.0%,127,0.0%,57.5%,73,"2,735,593",62,9.05,6.25
2017-06-26,1,0.0%,1,0.0%,127,0.0%,30.7%,39,"2,735,632",56,9.05,6.25
2017-06-27,1,0.0%,1,0.0%,133,0.0%,66.9%,89,"2,735,721",48,9.05,6.25
