날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2018-02-14,"1,449",26.0%,"7,196",38.2%,"1,356,487",45.4%,46.5%,"630,461","633,484",1,8.33,6.67
2018-02-15,"1,587",26.8%,"7,779",40.3%,"1,452,316",47.5%,38.8%,"563,855","1,197,339",1,8.33,6.67
2018-02-16,"1,620",27.3%,"7,904",41.3%,"1,480,654",48.8%,38.0%,"562,493","1,759,832",1,8.33,6.67
2018-02-17,"1,544",24.7%,"7,565",38.5%,"1,431,978",46.0%,51.6%,"739,447","2,499,279",1,8.33,6.67
2018-02-18,"1,495",24.3%,"7,171",38.0%,"1,357,794",45.4%,44.1%,"598,424","3,097,703",1,8.33,6.67
2018-02-19,"1,314",23.5%,"6,417",36.6%,"1,235,563",44.2%,19.5%,"240,651","3,338,354",1,8.33,6.67
2018-02-20,"1,313",22.8%,"6,370",36.7%,"1,226,907",44.3%,14.0%,"171,156","3,509,510",1,8.33,6.67
2018-02-21,"1,283",23.0%,"6,187",35.8%,"1,204,165",43.6%,12.5%,"150,599","3,660,109",1,8.33,6.67
2018-02-22,"1,165",20.1%,"5,483",31.8%,"1,088,121",39.6%,11.7%,"127,342","3,787,451",1,8.33,6.67
2018-02-23,"1,203",20.3%,"5,691",32.3%,"1,122,298",40.1%,13.2%,"148,541","3,935,992",1,8.33,6.67
2018-02-24,"1,242",19.7%,"6,046",32.7%,"1,184,387",40.4%,26.0%,"307,400","4,243,392",1,8.33,6.67
2018-02-25,"1,230",19.8%,"5,847",32.7%,"1,153,677",40.5%,21.9%,"253,217","4,496,609",1,8.33,6.67
2018-02-26,"1,153",20.3%,"5,362",31.8%,"1,067,585",39.6%,8.6%,"91,512","4,588,121",1,8.33,6.67
2018-02-27,"1,153",19.6%,"5,308",31.4%,"1,056,381",39.1%,8.2%,"87,081","4,675,202",1,8.33,6.67
2018-02-28,701,11.5%,"2,741",14.6%,"468,693",15.6%,24.4%,"114,218","4,789,420",3,8.33,6.67
2018-03-01,711,11.3%,"2,662",13.9%,"453,653",14.8%,33.1%,"150,161","4,939,581",3,8.33,6.67
2018-03-02,708,11.9%,"2,634",14.2%,"450,551",15.0%,12.1%,"54,702","4,994,283",3,8.33,6.67
2018-03-03,787,12.6%,"2,939",15.4%,"490,423",16.0%,22.8%,"111,713","5,105,996",3,8.33,6.67
2018-03-04,760,12.4%,"2,802",15.1%,"470,702",15.8%,19.1%,"89,979","5,195,975",3,8.33,6.67
2018-03-05,666,12.9%,"2,474",14.8%,"424,950",15.6%,6.0%,"25,595","5,221,570",3,8.33,6.67
2018-03-06,653,12.3%,"2,399",14.5%,"412,250",15.3%,5.2%,"21,350","5,242,920",3,8.33,6.67
2018-03-07,508,10.2%,"1,769",10.3%,"302,509",10.8%,5.3%,"16,010","5,258,930",4,8.33,6.67
2018-03-08,402,7.7%,"1,060",6.1%,"155,702",5.5%,6.7%,"10,437","5,269,367",5,8.33,6.67
2018-03-09,428,7.9%,"1,076",6.1%,"157,133",5.4%,8.6%,"13,524","5,282,891",5,8.33,6.67
2018-03-10,448,7.4%,"1,036",5.4%,"143,475",4.7%,21.3%,"30,631","5,313,522",5,8.33,6.67
2018-03-11,447,7.5%,"1,007",5.4%,"139,646",4.7%,19.1%,"26,725","5,340,247",5,8.33,6.67
2018-03-12,412,8.0%,938,5.6%,"137,387",5.1%,5.5%,"7,536","5,347,783",5,8.33,6.67
2018-03-13,417,7.7%,937,5.7%,"136,014",5.0%,5.3%,"7,218","5,355,001",5,8.33,6.67
2018-03-14,147,2.8%,234,1.4%,"31,054",1.1%,7.4%,"2,311","5,357,312",12,8.33,6.67
