날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2019-07-01,712,10.7%,724,3.9%,"139,986",4.8%,36.9%,"51,712","52,568",4,8.99,6.56
2019-07-02,"1,944",33.2%,"10,320",55.3%,"1,842,648",63.7%,36.6%,"674,423","726,991",1,8.99,6.56
2019-07-03,"1,949",35.2%,"10,355",55.9%,"1,837,939",64.1%,27.7%,"509,033","1,236,024",1,8.99,6.56
2019-07-04,"2,007",35.3%,"10,428",56.5%,"1,845,401",64.5%,23.2%,"427,801","1,663,825",1,8.99,6.56
2019-07-05,"2,080",36.1%,"10,965",58.0%,"1,936,294",66.1%,32.9%,"636,529","2,300,354",1,8.99,6.56
2019-07-06,"2,142",36.4%,"11,724",59.2%,"2,058,399",67.7%,59.7%,"1,227,930","3,528,284",1,8.99,6.56
2019-07-07,"2,129",35.8%,"11,343",58.5%,"1,995,078",67.0%,49.8%,"993,772","4,522,056",1,8.99,6.56
2019-07-08,"1,890",34.4%,"9,883",54.4%,"1,766,185",62.8%,13.7%,"242,112","4,764,168",1,8.99,6.56
2019-07-09,"1,901",33.6%,"9,769",53.8%,"1,748,079",62.3%,14.1%,"247,282","5,011,450",1,8.99,6.56
2019-07-10,"1,688",31.9%,"8,498",45.9%,"1,557,152",54.5%,13.2%,"204,870","5,216,320",1,8.99,6.56
2019-07-11,"1,612",27.3%,"8,083",43.5%,"1,492,399",52.1%,11.2%,"166,832","5,383,152",1,8.99,6.56
2019-07-12,"1,648",27.0%,"8,279",43.6%,"1,527,015",52.2%,15.2%,"231,487","5,614,639",1,8.99,6.56
2019-07-13,"1,709",26.4%,"8,816",43.8%,"1,616,160",52.6%,36.5%,"589,160","6,203,799",1,8.99,6.56
2019-07-14,"1,681",26.0%,"8,481",43.1%,"1,563,258",51.9%,30.8%,"482,038","6,685,837",1,8.99,6.56
2019-07-15,"1,553",27.2%,"7,671",42.9%,"1,431,017",51.7%,7.7%,"110,059","6,795,896",1,8.99,6.56
2019-07-16,"1,571",26.5%,"7,563",42.0%,"1,412,762",50.8%,7.2%,"101,394","6,897,290",1,8.99,6.56
2019-07-17,873,15.3%,"3,428",17.9%,"495,028",16.6%,15.5%,"76,853","6,974,143",2,8.99,6.56
2019-07-18,888,15.0%,"3,318",17.4%,"470,681",15.9%,15.7%,"73,748","7,047,891",2,8.99,6.56
2019-07-19,872,14.7%,"3,327",17.0%,"471,696",15.5%,21.3%,"100,388","7,148,279",2,8.99,6.56
2019-07-20,866,13.4%,"3,108",15.2%,"433,801",13.8%,43.4%,"188,430","7,336,709",3,8.99,6.56
2019-07-21,869,13.4%,"3,047",15.2%,"425,815",13.8%,38.1%,"162,321","7,499,030",3,8.99,6.56
2019-07-22,834,14.6%,"3,166",17.0%,"449,805",15.5%,12.1%,"54,293","7,553,323",3,8.99,6.56
2019-07-23,833,14.2%,"3,172",16.9%,"450,276",15.5%,11.3%,"50,828","7,604,151",3,8.99,6.56
2019-07-24,587,10.3%,"1,776",9.0%,"242,163",7.9%,14.8%,"35,868","7,640,019",5,8.99,6.56
2019-07-25,618,9.8%,"1,724",8.7%,"237,682",7.7%,14.5%,"34,491","7,674,510",5,8.99,6.56
2019-07-26,670,10.4%,"1,844",9.2%,"252,953",8.1%,16.8%,"42,394","7,716,904",4,8.99,6.56
2019-07-27,676,9.9%,"1,818",8.7%,"245,771",7.6%,33.9%,"83,313","7,800,217",4,8.99,6.56
2019-07-28,688,10.0%,"1,831",9.0%,"246,632",7.8%,29.4%,"72,444","7,872,661",4,8.99,6.56
2019-07-29,638,10.1%,"1,816",9.3%,"248,285",8.2%,15.1%,"37,459","7,910,120",5,8.99,6.56
2019-07-30,641,9.9%,"1,825",9.3%,"249,143",8.2%,15.5%,"38,665","7,948,785",5,8.99,6.56
2019-07-31,180,2.7%,252,1.2%,"32,129",1.0%,35.1%,"11,293","7,960,078",8,8.99,6.56
2019-08-01,164,2.5%,229,1.1%,"28,139",0.8%,28.8%,"8,106","7,968,184",8,8.99,6.56
2019-08-02,164,2.4%,226,1.0%,"28,121",0.8%,30.6%,"8,613","7,976,797",7,8.99,6.56
2019-08-03,173,2.5%,238,1.1%,"29,525",0.9%,36.4%,"10,759","7,987,556",7,8.99,6.56
