날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2017-07-05,"1,703",39.6%,"9,117",57.8%,"1,702,485",65.8%,32.0%,"545,302","551,499",1,8.83,7
2017-07-06,"1,733",39.0%,"9,170",57.9%,"1,710,240",65.8%,23.7%,"405,399","956,898",1,8.83,7
2017-07-07,"1,796",39.6%,"9,533",58.5%,"1,765,989",66.4%,30.4%,"537,526","1,494,424",1,8.83,7
2017-07-08,"1,965",41.1%,"10,679",62.3%,"1,942,894",69.7%,56.6%,"1,098,751","2,593,175",1,8.83,7
2017-07-09,"1,965",41.6%,"10,524",63.0%,"1,914,659",70.3%,50.7%,"970,771","3,563,946",1,8.83,7
2017-07-10,"1,761",41.6%,"9,331",60.6%,"1,732,372",68.5%,14.7%,"254,624","3,818,570",1,8.83,7
2017-07-11,"1,797",39.8%,"9,249",59.7%,"1,717,988",67.6%,15.6%,"267,167","4,085,737",1,8.83,7
2017-07-12,"1,705",38.8%,"8,859",56.8%,"1,655,416",64.8%,13.0%,"215,812","4,301,549",1,8.83,7
2017-07-13,"1,668",34.2%,"8,446",53.5%,"1,590,666",61.6%,11.6%,"183,923","4,485,472",1,8.83,7
2017-07-14,"1,700",33.5%,"8,751",53.6%,"1,648,424",61.8%,15.6%,"256,830","4,742,302",1,8.83,7
2017-07-15,"1,781",33.1%,"9,257",52.9%,"1,726,791",60.6%,36.6%,"632,067","5,374,369",1,8.83,7
2017-07-16,"1,762",33.4%,"8,901",52.6%,"1,663,151",60.4%,31.8%,"528,457","5,902,826",1,8.83,7
2017-07-17,"1,600",34.8%,"8,068",52.4%,"1,531,173",60.5%,8.1%,"124,148","6,026,974",1,8.83,7
2017-07-18,"1,617",33.3%,"7,934",51.6%,"1,508,136",59.7%,7.4%,"111,280","6,138,254",1,8.83,7
2017-07-19,"1,472",29.1%,"7,229",44.7%,"1,395,338",52.9%,7.4%,"103,671","6,241,925",1,8.83,7
2017-07-20,895,15.8%,"3,744",20.4%,"638,251",21.1%,12.5%,"79,499","6,321,424",2,8.83,7
2017-07-21,897,15.6%,"3,834",20.3%,"642,736",20.7%,17.7%,"113,462","6,434,886",2,8.83,7
2017-07-22,918,15.0%,"3,841",19.4%,"640,267",19.7%,35.2%,"225,365","6,660,251",2,8.83,7
2017-07-23,914,14.9%,"3,753",19.4%,"627,127",19.8%,31.1%,"195,009","6,855,260",2,8.83,7
2017-07-24,876,15.8%,"3,606",19.6%,"604,599",20.0%,10.4%,"62,945","6,918,205",2,8.83,7
2017-07-25,879,15.4%,"3,611",19.6%,"601,290",19.9%,10.4%,"62,825","6,981,030",2,8.83,7
2017-07-26,429,7.8%,785,4.3%,"101,143",3.4%,28.4%,"28,732","7,009,762",4,8.83,7
2017-07-27,410,7.7%,760,4.1%,"96,735",3.2%,22.8%,"22,024","7,031,786",4,8.83,7
2017-07-28,421,7.9%,727,3.9%,"90,239",3.0%,27.7%,"25,030","7,056,816",4,8.83,7
2017-07-29,414,7.5%,643,3.3%,"81,285",2.6%,46.4%,"37,683","7,094,499",4,8.83,7
2017-07-30,425,7.8%,697,3.6%,"88,436",2.9%,42.4%,"37,500","7,131,999",4,8.83,7
2017-07-31,490,9.2%,877,4.7%,"114,795",3.8%,30.8%,"35,402","7,167,401",4,8.83,7
2017-08-01,497,9.0%,893,4.7%,"117,638",3.9%,28.9%,"34,024","7,201,425",4,8.83,7
2017-08-02,117,2.2%,187,1.0%,"23,210",0.8%,35.0%,"8,123","7,209,548",7,8.83,7
2017-08-03,116,2.1%,189,1.0%,"23,273",0.8%,30.3%,"7,051","7,216,599",7,8.83,7
2017-08-04,116,2.1%,192,1.0%,"24,008",0.8%,29.8%,"7,144","7,223,743",7,8.83,7
2017-08-05,120,2.1%,189,1.0%,"23,626",0.8%,40.6%,"9,586","7,233,329",7,8.83,7
2017-08-06,116,2.1%,187,1.0%,"22,883",0.8%,32.5%,"7,437","7,240,766",7,8.83,7
2017-08-07,126,2.4%,209,1.2%,"26,788",0.9%,16.5%,"4,430","7,245,196",6,8.83,7
2017-08-08,121,2.3%,208,1.2%,"26,222",0.9%,17.9%,"4,702","7,249,898",7,8.83,7
2017-08-09,32,0.6%,46,0.2%,"5,771",0.2%,27.7%,"1,601","7,251,499",11,8.83,7
2017-08-10,20,0.4%,28,0.1%,"3,409",0.1%,19.8%,676,"7,252,175",17,8.83,7
2017-08-11,18,0.3%,23,0.1%,"3,017",0.1%,27.7%,835,"7,253,010",15,8.83,7
2017-08-12,21,0.3%,29,0.1%,"3,918",0.1%,26.6%,"1,044","7,254,054",15,8.83,7
2017-08-13,19,0.3%,25,0.1%,"2,905",0.1%,28.4%,824,"7,254,878",17,8.83,7
2017-08-14,18,0.3%,22,0.1%,"2,860",0.1%,29.3%,839,"7,255,717",15,8.83,7
2017-08-15,6,0.1%,6,0.0%,688,0.0%,38.7%,266,"7,255,983",28,8.83,7
2017-08-16,7,0.1%,7,0.0%,688,0.0%,32.7%,225,"7,256,208",27,8.83,7
2017-08-17,4,0.1%,4,0.0%,392,0.0%,48.0%,188,"7,256,396",32,8.83,7
2017-08-18,4,0.1%,4,0.0%,365,0.0%,43.0%,157,"7,256,553",33,8.83,7
2017-08-19,6,0.1%,6,0.0%,708,0.0%,36.7%,260,"7,256,813",26,8.83,7
2017-08-20,3,0.1%,3,0.0%,332,0.0%,42.5%,141,"7,256,954",34,8.83,7
2017-08-21,4,0.1%,7,0.0%,904,0.0%,18.0%,163,"7,257,117",33,8.83,7
2017-08-22,3,0.1%,4,0.0%,424,0.0%,25.9%,110,"7,257,227",40,8.83,7
2017-08-23,2,0.0%,3,0.0%,318,0.0%,20.4%,65,"7,257,292",54,8.83,7
2017-08-24,2,0.0%,2,0.0%,226,0.0%,33.2%,75,"7,257,367",60,8.83,7
2017-08-25,2,0.0%,2,0.0%,226,0.0%,23.5%,53,"7,257,420",61,8.83,7
2017-08-26,2,0.0%,2,0.0%,226,0.0%,54.4%,123,"7,257,543",46,8.83,7
2017-08-27,2,0.0%,2,0.0%,226,0.0%,54.0%,122,"7,257,665",42,8.83,7
2017-08-28,2,0.0%,2,0.0%,226,0.0%,18.6%,42,"7,257,707",54,8.83,7
2017-08-29,2,0.0%,2,0.0%,226,0.0%,21.2%,48,"7,257,755",55,8.83,7
2017-08-30,2,0.0%,2,0.0%,538,0.0%,77.1%,415,"7,258,170",29,8.83,7
2017-08-31,1,0.0%,2,0.0%,356,0.0%,4.8%,17,"7,258,187",81,8.83,7
2017-09-01,1,0.0%,1,0.0%,178,0.0%,5.1%,9,"7,258,196",86,8.83,7
2017-09-02,1,0.0%,1,0.0%,178,0.0%,21.3%,38,"7,258,234",79,8.83,7
2017-09-03,1,0.0%,1,0.0%,178,0.0%,27.0%,48,"7,258,282",64,8.83,7
2017-09-04,1,0.0%,1,0.0%,178,0.0%,7.9%,14,"7,258,296",72,8.83,7
2017-09-05,1,0.0%,1,0.0%,178,0.0%,3.4%,6,"7,258,302",90,8.83,7
2017-09-06,1,0.0%,1,0.0%,134,0.0%,9.7%,13,"7,258,315",76,8.83,7
2017-09-07,1,0.0%,1,0.0%,134,0.0%,7.5%,10,"7,258,325",84,8.83,7
2017-09-08,1,0.0%,1,0.0%,178,0.0%,1.1%,2,"7,258,327",111,8.83,7
2017-09-09,1,0.0%,1,0.0%,178,0.0%,16.9%,30,"7,258,357",80,8.83,7
2017-09-10,1,0.0%,1,0.0%,178,0.0%,9.6%,17,"7,258,374",88,8.83,7
2017-09-11,1,0.0%,1,0.0%,178,0.0%,7.9%,14,"7,258,388",79,8.83,7
2017-09-12,1,0.0%,1,0.0%,178,0.0%,2.8%,5,"7,258,393",96,8.83,7
2017-09-13,1,0.0%,1,0.0%,134,0.0%,6.7%,9,"7,258,402",101,8.83,7
