날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2008-04-30,496,21.6%,"2,823",26.6%,"649,016",34.0%,23.5%,"152,797","155,577",1,8.93,6.13
2008-05-01,528,22.2%,"2,922",25.5%,"664,247",32.5%,35.6%,"236,496","392,073",1,8.93,6.13
2008-05-02,507,21.5%,"2,936",26.0%,"677,383",33.3%,24.8%,"167,669","559,742",1,8.93,6.13
2008-05-03,570,23.1%,"3,192",26.3%,"729,629",33.6%,47.5%,"346,788","906,530",1,8.93,6.13
2008-05-04,574,23.8%,"3,165",26.9%,"714,875",34.1%,57.0%,"407,586","1,314,116",1,8.93,6.13
2008-05-05,592,24.0%,"3,155",27.5%,"700,015",34.2%,66.6%,"466,425","1,780,541",1,8.93,6.13
2008-05-06,491,21.9%,"2,757",26.8%,"641,252",34.3%,15.7%,"100,843","1,881,384",1,8.93,6.13
2008-05-07,491,21.9%,"2,740",27.0%,"640,448",34.7%,13.7%,"87,942","1,969,326",1,8.93,6.13
2008-05-08,444,19.2%,"2,463",23.9%,"528,745",28.5%,14.3%,"75,707","2,045,033",1,8.93,6.13
2008-05-09,463,19.5%,"2,605",23.6%,"566,851",28.6%,22.7%,"128,870","2,173,903",1,8.93,6.13
2008-05-10,531,20.6%,"2,968",24.2%,"651,788",29.8%,45.2%,"294,331","2,468,234",1,8.93,6.13
2008-05-11,540,20.7%,"3,002",24.6%,"659,394",30.4%,49.9%,"329,120","2,797,354",1,8.93,6.13
2008-05-12,542,21.2%,"2,853",24.7%,"629,433",30.6%,48.5%,"305,317","3,102,671",1,8.93,6.13
2008-05-13,450,19.9%,"2,464",25.2%,"552,226",31.2%,11.1%,"61,284","3,163,955",1,8.93,6.13
2008-05-14,455,20.1%,"2,467",25.7%,"554,766",31.8%,10.1%,"55,770","3,219,725",1,8.93,6.13
2008-05-15,407,17.1%,"2,196",21.7%,"458,510",25.2%,14.4%,"65,951","3,285,676",2,8.93,6.13
2008-05-16,408,17.4%,"2,298",22.3%,"477,297",25.8%,13.6%,"65,076","3,350,752",2,8.93,6.13
2008-05-17,454,17.9%,"2,551",22.3%,"529,339",26.1%,35.5%,"187,952","3,538,704",2,8.93,6.13
2008-05-18,433,17.5%,"2,399",21.8%,"496,900",25.5%,35.0%,"174,006","3,712,710",2,8.93,6.13
2008-05-19,401,17.7%,"2,199",23.0%,"458,761",26.7%,9.0%,"41,334","3,754,044",1,8.93,6.13
2008-05-20,407,17.7%,"2,171",23.2%,"451,017",26.6%,8.5%,"38,507","3,792,551",2,8.93,6.13
2008-05-21,408,17.5%,"2,155",22.9%,"447,848",26.5%,8.5%,"37,998","3,830,549",2,8.93,6.13
2008-05-22,325,13.8%,"1,518",15.9%,"263,014",15.0%,7.8%,"20,445","3,850,994",2,8.93,6.13
2008-05-23,327,13.7%,"1,633",15.8%,"283,489",15.0%,11.1%,"31,464","3,882,458",3,8.93,6.13
2008-05-24,333,12.7%,"1,745",14.9%,"295,149",14.1%,32.7%,"96,590","3,979,048",3,8.93,6.13
2008-05-25,332,12.9%,"1,650",14.9%,"276,628",13.9%,30.2%,"83,434","4,062,482",3,8.93,6.13
2008-05-26,320,14.1%,"1,537",16.1%,"260,888",15.0%,7.5%,"19,572","4,082,054",2,8.93,6.13
2008-05-27,319,14.0%,"1,482",15.7%,"252,293",14.6%,7.1%,"18,027","4,100,081",2,8.93,6.13
2008-05-28,317,13.9%,"1,504",15.7%,"255,993",14.6%,7.7%,"19,704","4,119,785",2,8.93,6.13
2008-05-29,239,10.7%,941,9.1%,"147,773",7.9%,7.9%,"11,601","4,131,386",4,8.93,6.13
2008-05-30,240,10.6%,"1,020",9.3%,"159,621",8.0%,10.1%,"16,097","4,147,483",4,8.93,6.13
2008-05-31,248,9.8%,"1,045",8.6%,"159,371",7.4%,27.0%,"42,953","4,190,436",5,8.93,6.13
2008-06-01,260,10.4%,"1,018",8.8%,"155,048",7.5%,26.3%,"40,849","4,231,285",5,8.93,6.13
2008-06-02,236,10.8%,926,9.3%,"144,525",7.9%,6.1%,"8,797","4,240,082",4,8.93,6.13
2008-06-03,235,10.6%,939,9.5%,"147,317",8.1%,5.8%,"8,562","4,248,644",4,8.93,6.13
2008-06-04,235,10.6%,926,9.2%,"145,079",7.9%,6.3%,"9,104","4,257,748",5,8.93,6.13
2008-06-05,91,3.6%,215,1.9%,"29,738",1.4%,9.9%,"2,933","4,260,681",9,8.93,6.13
2008-06-06,85,3.1%,221,1.7%,"30,967",1.3%,31.6%,"9,790","4,270,471",9,8.93,6.13
2008-06-07,89,3.2%,226,1.8%,"32,306",1.4%,21.9%,"7,064","4,277,535",9,8.93,6.13
2008-06-08,82,3.0%,203,1.7%,"28,148",1.3%,22.0%,"6,201","4,283,736",9,8.93,6.13
2008-06-09,85,3.4%,184,1.7%,"25,932",1.3%,6.3%,"1,625","4,285,361",9,8.93,6.13
2008-06-10,83,3.3%,190,1.8%,"26,407",1.4%,6.2%,"1,635","4,286,996",9,8.93,6.13
2008-06-11,87,3.5%,185,1.8%,"26,656",1.4%,5.9%,"1,572","4,288,568",9,8.93,6.13
2008-06-12,7,0.3%,13,0.1%,"1,617",0.1%,12.0%,194,"4,288,762",15,8.93,6.13
2008-06-13,8,0.3%,17,0.1%,"2,175",0.1%,13.4%,291,"4,289,053",15,8.93,6.13
2008-06-14,12,0.5%,28,0.2%,"3,647",0.2%,16.2%,591,"4,289,644",14,8.93,6.13
2008-06-15,12,0.5%,26,0.2%,"3,282",0.1%,16.2%,531,"4,290,175",14,8.93,6.13
2008-06-16,7,0.3%,14,0.1%,"1,954",0.1%,7.5%,146,"4,290,321",19,8.93,6.13
2008-06-17,9,0.4%,16,0.1%,"2,082",0.1%,8.8%,184,"4,290,505",16,8.93,6.13
2008-06-18,7,0.3%,13,0.1%,"1,539",0.1%,12.3%,190,"4,290,695",15,8.93,6.13
2008-06-19,1,0.0%,1,0.0%,133,0.0%,5.3%,7,"4,290,702",51,8.93,6.13
2008-06-20,1,0.0%,1,0.0%,133,0.0%,3.8%,5,"4,290,707",46,8.93,6.13
2008-06-21,1,0.0%,1,0.0%,133,0.0%,12.8%,17,"4,290,724",46,8.93,6.13
2008-06-22,1,0.0%,1,0.0%,133,0.0%,15.0%,20,"4,290,744",44,8.93,6.13
2008-06-23,1,0.0%,1,0.0%,133,0.0%,8.3%,11,"4,290,755",42,8.93,6.13
2008-06-24,1,0.0%,1,0.0%,133,0.0%,4.5%,6,"4,290,761",58,8.93,6.13
2008-06-25,1,0.0%,1,0.0%,133,0.0%,6.8%,9,"4,290,770",51,8.93,6.13
2008-06-26,1,0.0%,1,0.0%,133,0.0%,3.8%,5,"4,290,775",50,8.93,6.13
2008-06-27,1,0.0%,1,0.0%,133,0.0%,3.8%,5,"4,290,780",46,8.93,6.13
2008-06-28,1,0.0%,1,0.0%,133,0.0%,9.8%,13,"4,290,793",40,8.93,6.13
2008-06-29,1,0.0%,1,0.0%,133,0.0%,5.3%,7,"4,290,800",48,8.93,6.13
2008-06-30,1,0.0%,1,0.0%,133,0.0%,6.8%,9,"4,290,809",34,8.93,6.13
2008-07-01,1,0.0%,1,0.0%,133,0.0%,5.3%,7,"4,290,816",53,8.93,6.13
