날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2013-04-25,"1,229",34.6%,"6,249",52.3%,"1,235,978",60.9%,34.2%,"422,504","423,201",1,8.86,7.53
2013-04-26,"1,261",35.0%,"6,575",53.0%,"1,293,928",61.7%,37.6%,"486,637","909,838",1,8.86,7.53
2013-04-27,"1,369",36.2%,"7,383",55.6%,"1,426,849",64.0%,62.7%,"894,377","1,804,215",1,8.86,7.53
2013-04-28,"1,381",37.0%,"7,181",56.1%,"1,386,782",64.3%,59.2%,"821,041","2,625,256",1,8.86,7.53
2013-04-29,"1,247",35.9%,"6,452",54.1%,"1,269,520",62.8%,22.2%,"282,271","2,907,527",1,8.86,7.53
2013-04-30,"1,292",35.9%,"6,624",54.6%,"1,295,516",63.1%,25.1%,"325,124","3,232,651",1,8.86,7.53
2013-05-01,"1,299",36.2%,"6,694",52.2%,"1,284,928",59.5%,42.9%,"550,990","3,783,641",1,8.86,7.53
2013-05-02,"1,235",37.7%,"6,209",52.2%,"1,206,030",59.5%,18.6%,"224,628","4,008,269",1,8.86,7.53
2013-05-03,"1,296",37.5%,"6,536",52.2%,"1,267,308",59.7%,30.4%,"385,024","4,393,293",1,8.86,7.53
2013-05-04,"1,372",36.4%,"7,263",52.4%,"1,388,817",59.8%,55.7%,"774,176","5,167,469",1,8.86,7.53
2013-05-05,"1,389",36.4%,"6,996",51.9%,"1,336,841",59.2%,52.8%,"705,579","5,873,048",1,8.86,7.53
2013-05-06,"1,244",37.0%,"6,179",51.6%,"1,204,780",59.2%,14.2%,"171,173","6,044,221",1,8.86,7.53
2013-05-07,"1,245",37.9%,"6,067",52.3%,"1,184,303",59.8%,10.4%,"123,264","6,167,485",1,8.86,7.53
2013-05-08,"1,227",37.4%,"5,995",51.2%,"1,173,222",58.9%,10.5%,"122,878","6,290,363",1,8.86,7.53
2013-05-09,"1,057",34.8%,"5,264",43.3%,"1,045,467",50.7%,10.8%,"112,536","6,402,899",1,8.86,7.53
2013-05-10,"1,075",34.3%,"5,551",43.3%,"1,097,547",50.8%,17.8%,"195,262","6,598,161",1,8.86,7.53
2013-05-11,"1,130",32.0%,"6,004",44.0%,"1,174,969",51.3%,38.7%,"454,673","7,052,834",1,8.86,7.53
2013-05-12,"1,107",32.3%,"5,775",43.9%,"1,132,090",51.2%,34.4%,"389,883","7,442,717",1,8.86,7.53
2013-05-13,"1,016",34.3%,"5,063",42.8%,"1,006,444",50.1%,7.8%,"78,628","7,521,345",1,8.86,7.53
2013-05-14,"1,019",33.9%,"4,987",42.6%,"998,203",50.2%,7.0%,"70,067","7,591,412",1,8.86,7.53
2013-05-15,"1,034",33.5%,"5,027",41.9%,"1,002,122",49.3%,10.0%,"99,870","7,691,282",1,8.86,7.53
2013-05-16,562,17.5%,"2,558",19.6%,"524,008",23.9%,15.7%,"82,282","7,773,564",3,8.86,7.53
2013-05-17,617,18.0%,"2,863",20.4%,"585,264",24.9%,47.4%,"277,522","8,051,086",1,8.86,7.53
2013-05-18,637,17.9%,"2,874",20.4%,"580,891",24.7%,39.3%,"228,563","8,279,649",1,8.86,7.53
2013-05-19,630,17.7%,"2,748",20.3%,"557,722",24.6%,34.9%,"194,920","8,474,569",1,8.86,7.53
2013-05-20,544,17.6%,"2,411",19.9%,"492,003",24.0%,8.2%,"40,307","8,514,876",3,8.86,7.53
2013-05-21,550,17.4%,"2,349",19.7%,"476,889",23.6%,7.3%,"34,971","8,549,847",3,8.86,7.53
2013-05-22,388,11.5%,"1,681",13.8%,"287,097",13.9%,9.6%,"27,435","8,577,282",4,8.86,7.53
2013-05-23,386,11.4%,"1,637",13.5%,"276,996",13.4%,8.8%,"24,430","8,601,712",4,8.86,7.53
2013-05-24,384,11.2%,"1,707",13.4%,"285,680",13.3%,12.7%,"36,176","8,637,888",4,8.86,7.53
2013-05-25,431,10.7%,"1,763",12.9%,"289,108",12.6%,33.0%,"95,405","8,733,293",4,8.86,7.53
2013-05-26,414,10.4%,"1,653",12.6%,"272,380",12.3%,31.4%,"85,656","8,818,949",3,8.86,7.53
2013-05-27,363,10.7%,"1,574",13.1%,"258,642",12.7%,8.7%,"22,431","8,841,380",4,8.86,7.53
2013-05-28,374,11.1%,"1,582",13.1%,"259,446",12.7%,8.3%,"21,436","8,862,816",4,8.86,7.53
2013-05-29,369,9.8%,"1,331",11.1%,"218,071",10.7%,8.1%,"17,680","8,880,496",5,8.86,7.53
2013-05-30,266,8.0%,720,5.7%,"98,505",4.6%,11.0%,"10,872","8,891,368",6,8.86,7.53
2013-05-31,262,7.7%,739,5.7%,"101,200",4.6%,14.8%,"14,977","8,906,345",6,8.86,7.53
