날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2015-09-03,858,18.5%,"4,584",30.1%,"932,214",36.8%,18.7%,"174,587","176,365",1,8.71,7.09
2015-09-04,886,18.9%,"4,789",30.6%,"972,409",37.4%,22.6%,"220,000","396,365",1,8.71,7.09
2015-09-05,949,19.1%,"5,385",32.8%,"1,077,398",39.7%,45.4%,"488,772","885,137",1,8.71,7.09
2015-09-06,934,19.0%,"5,225",32.7%,"1,050,772",39.7%,40.9%,"429,365","1,314,502",1,8.71,7.09
2015-09-07,894,19.9%,"4,730",31.9%,"968,551",39.1%,10.8%,"105,044","1,419,546",1,8.71,7.09
2015-09-08,892,19.7%,"4,662",31.7%,"957,209",38.9%,9.5%,"90,626","1,510,172",1,8.71,7.09
2015-09-09,879,19.4%,"4,610",31.4%,"947,867",38.7%,9.9%,"93,511","1,603,683",1,8.71,7.09
2015-09-10,818,17.8%,"4,341",29.5%,"914,448",37.2%,8.4%,"77,186","1,680,869",1,8.71,7.09
2015-09-11,851,18.2%,"4,575",30.0%,"952,947",37.6%,13.5%,"128,182","1,809,051",1,8.71,7.09
2015-09-12,869,17.4%,"4,978",30.7%,"1,023,436",38.3%,30.1%,"307,993","2,117,044",1,8.71,7.09
2015-09-13,862,17.5%,"4,815",30.6%,"994,537",38.2%,26.1%,"259,083","2,376,127",1,8.71,7.09
2015-09-14,793,17.5%,"4,227",29.5%,"892,556",37.2%,6.3%,"56,227","2,432,354",1,8.71,7.09
2015-09-15,800,17.3%,"4,110",29.0%,"868,553",36.6%,6.0%,"51,694","2,484,048",1,8.71,7.09
2015-09-16,399,9.9%,"1,541",10.7%,"217,115",9.0%,10.1%,"21,960","2,506,008",4,8.71,7.09
2015-09-17,389,9.9%,"1,448",10.0%,"199,900",8.3%,10.3%,"20,634","2,526,642",4,8.71,7.09
2015-09-18,397,9.9%,"1,491",10.0%,"203,522",8.2%,15.8%,"32,120","2,558,762",3,8.71,7.09
2015-09-19,398,9.5%,"1,427",9.1%,"188,324",7.3%,38.9%,"73,188","2,631,950",3,8.71,7.09
2015-09-20,397,9.6%,"1,387",9.1%,"184,506",7.3%,35.8%,"66,136","2,698,086",3,8.71,7.09
2015-09-21,370,9.8%,"1,339",9.4%,"187,292",7.9%,8.7%,"16,319","2,714,405",4,8.71,7.09
2015-09-22,365,9.4%,"1,321",9.3%,"186,994",7.9%,8.5%,"15,854","2,730,259",4,8.71,7.09
2015-09-23,374,9.7%,"1,328",9.4%,"186,870",7.9%,9.0%,"16,911","2,747,170",4,8.71,7.09
2015-09-24,154,3.7%,269,1.8%,"35,534",1.4%,12.3%,"4,369","2,751,539",9,8.71,7.09
2015-09-25,158,3.6%,289,1.8%,"38,720",1.5%,27.4%,"10,595","2,762,134",8,8.71,7.09
2015-09-26,136,2.8%,230,1.4%,"28,500",1.0%,48.2%,"13,741","2,775,875",9,8.71,7.09
2015-09-27,132,2.6%,221,1.3%,"26,717",1.0%,50.8%,"13,564","2,789,439",9,8.71,7.09
2015-09-28,137,2.6%,224,1.3%,"28,483",1.0%,61.3%,"17,461","2,806,900",9,8.71,7.09
2015-09-29,134,2.6%,210,1.3%,"25,978",1.0%,59.4%,"15,430","2,822,330",10,8.71,7.09
2015-09-30,100,2.2%,163,1.1%,"21,224",0.8%,22.2%,"4,708","2,827,038",10,8.71,7.09
2015-10-01,65,1.4%,105,0.7%,"13,950",0.6%,13.2%,"1,847","2,828,885",15,8.71,7.09
2015-10-02,66,1.4%,106,0.7%,"13,478",0.5%,15.7%,"2,120","2,831,005",13,8.71,7.09
2015-10-03,66,1.3%,99,0.6%,"13,330",0.5%,33.2%,"4,429","2,835,434",14,8.71,7.09
2015-10-04,65,1.3%,100,0.6%,"13,587",0.5%,25.6%,"3,483","2,838,917",14,8.71,7.09
2015-10-05,67,1.5%,97,0.7%,"13,573",0.6%,5.5%,744,"2,839,661",16,8.71,7.09
2015-10-06,68,1.5%,97,0.7%,"12,546",0.5%,6.5%,819,"2,840,480",16,8.71,7.09
2015-10-07,66,1.5%,97,0.7%,"13,542",0.6%,6.8%,919,"2,841,399",15,8.71,7.09
2015-10-14,1,0.0%,1,0.0%,99,0.0%,45.5%,45,"2,841,444",50,8.71,7.09
2015-10-17,3,0.1%,3,0.0%,438,0.0%,8.9%,39,"2,841,483",59,8.71,7.09
2015-10-18,3,0.1%,3,0.0%,438,0.0%,15.8%,69,"2,841,552",41,8.71,7.09
2015-10-19,3,0.1%,3,0.0%,438,0.0%,3.2%,14,"2,841,566",70,8.71,7.09
2015-10-20,3,0.1%,3,0.0%,438,0.0%,4.3%,19,"2,841,585",67,8.71,7.09
2015-10-21,2,0.0%,2,0.0%,278,0.0%,6.1%,17,"2,841,602",67,8.71,7.09
2015-10-22,3,0.1%,3,0.0%,438,0.0%,4.6%,20,"2,841,622",79,8.71,7.09
2015-10-23,3,0.1%,3,0.0%,438,0.0%,6.2%,27,"2,841,649",77,8.71,7.09
2015-10-24,1,0.0%,1,0.0%,118,0.0%,15.3%,18,"2,841,667",85,8.71,7.09
2015-10-25,1,0.0%,1,0.0%,118,0.0%,27.1%,32,"2,841,699",76,8.71,7.09
