날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2018-07-04,"1,616",32.9%,"8,956",50.2%,"1,665,337",58.5%,24.3%,"404,151","406,945",1,8.85,6.13
2018-07-05,"1,627",32.7%,"9,012",50.4%,"1,674,967",58.7%,17.9%,"299,650","706,595",1,8.85,6.13
2018-07-06,"1,678",33.3%,"9,448",51.6%,"1,749,472",60.1%,23.1%,"403,553","1,110,148",1,8.85,6.13
2018-07-07,"1,775",33.6%,"10,438",54.4%,"1,910,139",63.0%,43.0%,"821,769","1,931,917",1,8.85,6.13
2018-07-08,"1,764",33.6%,"10,201",54.3%,"1,872,815",63.0%,37.1%,"694,125","2,626,042",1,8.85,6.13
2018-07-09,"1,579",33.3%,"8,985",51.2%,"1,681,725",60.0%,11.5%,"192,617","2,818,659",1,8.85,6.13
2018-07-10,"1,596",32.4%,"8,904",50.6%,"1,665,946",59.4%,12.2%,"204,068","3,022,727",1,8.85,6.13
2018-07-11,"1,391",29.7%,"7,544",41.6%,"1,420,573",49.2%,11.5%,"163,809","3,186,536",1,8.85,6.13
2018-07-12,"1,384",27.7%,"7,305",40.6%,"1,381,778",48.2%,9.8%,"135,312","3,321,848",1,8.85,6.13
2018-07-13,"1,340",26.2%,"7,227",38.7%,"1,379,596",46.5%,14.1%,"194,998","3,516,846",1,8.85,6.13
2018-07-14,"1,370",24.9%,"7,812",39.5%,"1,471,823",47.1%,31.8%,"468,418","3,985,264",1,8.85,6.13
2018-07-15,"1,355",25.2%,"7,527",39.2%,"1,420,831",46.8%,28.1%,"399,123","4,384,387",1,8.85,6.13
2018-07-16,"1,250",25.5%,"6,767",37.9%,"1,289,172",45.2%,7.7%,"99,047","4,483,434",1,8.85,6.13
2018-07-17,"1,260",25.0%,"6,634",37.3%,"1,264,687",44.6%,6.7%,"84,455","4,567,889",1,8.85,6.13
2018-07-18,874,16.3%,"4,018",22.5%,"737,028",25.9%,10.3%,"76,147","4,644,036",2,8.85,6.13
2018-07-19,861,15.3%,"3,874",21.6%,"708,199",24.9%,9.4%,"66,591","4,710,627",2,8.85,6.13
2018-07-20,868,15.2%,"3,936",21.3%,"714,162",24.5%,13.8%,"98,563","4,809,190",2,8.85,6.13
2018-07-21,897,14.4%,"3,848",20.0%,"658,756",21.7%,32.2%,"211,982","5,021,172",2,8.85,6.13
2018-07-22,873,14.1%,"3,688",19.6%,"632,139",21.3%,28.7%,"181,723","5,202,895",2,8.85,6.13
2018-07-23,831,14.9%,"3,690",20.7%,"647,361",23.0%,8.9%,"57,663","5,260,558",2,8.85,6.13
2018-07-24,850,14.7%,"3,632",20.4%,"633,285",22.5%,8.4%,"53,359","5,313,917",2,8.85,6.13
2018-07-25,379,6.8%,715,4.1%,"88,472",3.2%,23.0%,"20,327","5,334,244",5,8.85,6.13
