날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2015-04-23,"1,731",43.5%,"8,844",65.4%,"1,625,956",73.1%,38.3%,"622,165","625,666",1,8.59,6.92
2015-04-24,"1,767",44.6%,"9,206",66.0%,"1,684,239",73.7%,38.6%,"649,804","1,275,470",1,8.59,6.92
2015-04-25,"1,843",44.5%,"10,018",68.2%,"1,813,385",75.8%,63.7%,"1,155,761","2,431,231",1,8.59,6.92
2015-04-26,"1,826",45.1%,"9,761",68.3%,"1,766,268",75.8%,57.4%,"1,013,207","3,444,438",1,8.59,6.92
2015-04-27,"1,695",44.8%,"8,765",66.2%,"1,614,836",74.1%,18.3%,"295,125","3,739,563",1,8.59,6.92
2015-04-28,"1,706",43.9%,"8,681",65.4%,"1,598,393",73.2%,16.2%,"258,186","3,997,749",1,8.59,6.92
2015-04-29,"1,623",40.9%,"8,133",59.6%,"1,508,255",67.4%,21.3%,"321,740","4,319,489",1,8.59,6.92
2015-04-30,"1,587",40.6%,"8,200",58.3%,"1,521,281",66.1%,22.7%,"344,644","4,664,133",1,8.59,6.92
2015-05-01,"1,634",37.8%,"8,739",57.8%,"1,612,221",66.0%,47.9%,"772,772","5,436,905",1,8.59,6.92
2015-05-02,"1,627",36.2%,"8,743",56.9%,"1,618,412",65.2%,51.1%,"826,765","6,263,670",1,8.59,6.92
2015-05-03,"1,613",35.9%,"8,579",56.7%,"1,586,728",64.9%,47.1%,"747,935","7,011,605",1,8.59,6.92
2015-05-04,"1,602",36.1%,"8,486",56.1%,"1,574,162",64.4%,38.7%,"608,983","7,620,588",1,8.59,6.92
2015-05-05,"1,600",33.6%,"8,067",53.5%,"1,495,853",61.3%,47.6%,"712,523","8,333,111",1,8.59,6.92
2015-05-06,"1,526",37.7%,"7,296",54.3%,"1,366,488",62.2%,9.8%,"133,587","8,466,698",1,8.59,6.92
2015-05-07,"1,307",31.1%,"6,146",44.2%,"1,193,360",52.7%,8.9%,"106,327","8,573,025",1,8.59,6.92
2015-05-08,"1,295",30.3%,"6,309",44.0%,"1,226,977",52.6%,11.9%,"146,621","8,719,646",1,8.59,6.92
2015-05-09,"1,283",26.9%,"6,532",42.3%,"1,271,970",50.9%,27.1%,"344,605","9,064,251",1,8.59,6.92
2015-05-10,"1,282",27.1%,"6,287",41.8%,"1,224,825",50.4%,25.6%,"313,171","9,377,422",1,8.59,6.92
2015-05-11,"1,170",29.8%,"5,419",40.6%,"1,069,208",48.9%,7.0%,"74,553","9,451,975",1,8.59,6.92
2015-05-12,"1,183",28.6%,"5,394",40.1%,"1,062,605",48.3%,6.9%,"73,593","9,525,568",1,8.59,6.92
2015-05-13,"1,175",29.0%,"5,296",39.6%,"1,046,991",47.8%,6.7%,"70,348","9,595,916",1,8.59,6.92
