날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2018-04-25,"2,460",46.3%,"11,429",72.8%,"1,966,995",78.9%,49.8%,"980,042","980,666",1,9.08,7.09
2018-04-26,"2,394",47.8%,"11,628",73.5%,"1,996,462",79.6%,29.8%,"595,668","1,576,334",1,9.08,7.09
2018-04-27,"2,460",49.3%,"12,188",75.2%,"2,083,514",81.1%,35.5%,"739,908","2,316,242",1,9.08,7.09
2018-04-28,"2,553",49.2%,"13,184",77.1%,"2,227,049",82.6%,59.9%,"1,333,307","3,649,549",1,9.08,7.09
2018-04-29,"2,548",49.7%,"12,945",77.4%,"2,182,019",82.9%,51.1%,"1,114,946","4,764,495",1,9.08,7.09
2018-04-30,"2,462",49.5%,"12,255",75.9%,"2,083,482",81.6%,23.8%,"495,787","5,260,282",1,9.08,7.09
2018-05-01,"2,141",45.6%,"10,730",63.1%,"1,858,728",69.7%,38.6%,"717,324","5,977,606",1,9.08,7.09
2018-05-02,"2,114",47.8%,"10,387",63.6%,"1,797,776",69.6%,15.4%,"276,967","6,254,573",1,9.08,7.09
2018-05-03,"2,138",46.2%,"10,189",63.2%,"1,775,897",69.4%,14.9%,"265,430","6,520,003",1,9.08,7.09
2018-05-04,"2,156",43.9%,"10,648",63.0%,"1,854,399",69.5%,22.6%,"419,443","6,939,446",1,9.08,7.09
2018-05-05,"2,224",39.4%,"10,842",59.3%,"1,886,207",66.1%,43.5%,"820,839","7,760,285",1,9.08,7.09
2018-05-06,"2,186",39.1%,"10,778",59.9%,"1,879,483",66.9%,39.2%,"737,625","8,497,910",1,9.08,7.09
2018-05-07,"2,122",38.6%,"10,159",58.5%,"1,777,469",65.6%,29.1%,"516,678","9,014,588",1,9.08,7.09
2018-05-08,"2,056",44.4%,"9,345",60.8%,"1,654,449",67.7%,7.6%,"125,615","9,140,203",1,9.08,7.09
2018-05-09,"1,615",38.5%,"7,363",46.3%,"1,331,801",52.6%,8.2%,"109,370","9,249,573",1,9.08,7.09
2018-05-10,"1,554",35.6%,"6,993",44.0%,"1,281,160",50.6%,7.9%,"101,160","9,350,733",1,9.08,7.09
2018-05-11,"1,551",34.7%,"7,223",43.7%,"1,319,072",50.4%,10.9%,"144,261","9,494,994",1,9.08,7.09
2018-05-12,"1,602",31.4%,"7,628",42.5%,"1,381,417",49.3%,25.2%,"348,486","9,843,480",1,9.08,7.09
2018-05-13,"1,583",31.2%,"7,426",42.6%,"1,347,318",49.4%,21.6%,"290,488","10,133,968",1,9.08,7.09
