날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2012-04-25,653,17.4%,"1,457",13.1%,"312,058",15.9%,25.2%,"78,519","79,954",1,8.75,7.75
2012-04-26,846,27.8%,"3,853",34.5%,"835,501",42.5%,25.6%,"214,105","294,059",1,8.75,7.75
2012-04-27,862,28.9%,"4,112",35.5%,"893,416",43.9%,30.6%,"273,544","567,603",1,8.75,7.75
2012-04-28,963,30.3%,"4,744",38.4%,"1,007,969",46.7%,55.0%,"554,479","1,122,082",1,8.75,7.75
2012-04-29,967,30.8%,"4,648",38.9%,"983,200",47.1%,52.6%,"517,247","1,639,329",1,8.75,7.75
2012-04-30,885,29.5%,"4,247",37.2%,"917,104",45.8%,25.0%,"229,617","1,868,946",1,8.75,7.75
2012-05-01,946,30.8%,"4,509",38.6%,"961,666",47.2%,38.8%,"373,004","2,241,950",1,8.75,7.75
2012-05-02,884,29.6%,"4,077",37.0%,"887,024",45.7%,19.5%,"172,731","2,414,681",1,8.75,7.75
2012-05-03,754,25.5%,"3,453",30.5%,"745,688",37.3%,21.6%,"161,353","2,576,034",1,8.75,7.75
2012-05-04,778,25.4%,"3,655",30.4%,"783,907",37.2%,36.6%,"286,669","2,862,703",1,8.75,7.75
2012-05-05,921,25.9%,"4,098",30.8%,"859,913",37.0%,76.7%,"659,320","3,522,023",1,8.75,7.75
2012-05-06,916,26.0%,"4,044",31.8%,"860,069",38.7%,56.6%,"487,146","4,009,169",1,8.75,7.75
2012-05-07,751,25.7%,"3,533",31.3%,"770,950",38.7%,17.1%,"131,681","4,140,850",1,8.75,7.75
2012-05-08,759,25.9%,"3,494",31.6%,"765,400",39.1%,14.2%,"108,871","4,249,721",1,8.75,7.75
2012-05-09,756,25.7%,"3,483",31.4%,"764,322",39.0%,14.5%,"111,123","4,360,844",1,8.75,7.75
2012-05-10,659,22.0%,"2,970",26.4%,"667,070",33.4%,15.0%,"99,761","4,460,605",1,8.75,7.75
2012-05-11,679,22.2%,"3,154",26.6%,"704,232",33.7%,23.2%,"163,291","4,623,896",1,8.75,7.75
2012-05-12,736,20.4%,"3,533",27.5%,"775,274",34.6%,56.2%,"435,438","5,059,334",1,8.75,7.75
2012-05-13,734,20.3%,"3,414",27.7%,"749,191",34.8%,53.2%,"398,260","5,457,594",1,8.75,7.75
2012-05-14,664,22.5%,"3,057",26.9%,"683,979",34.1%,13.4%,"91,973","5,549,567",1,8.75,7.75
2012-05-15,672,21.9%,"3,032",26.7%,"675,326",33.6%,15.9%,"107,046","5,656,613",1,8.75,7.75
2012-05-16,671,22.3%,"3,004",27.1%,"669,737",34.1%,10.9%,"73,094","5,729,707",1,8.75,7.75
2012-05-17,486,15.7%,"2,099",17.5%,"468,391",22.1%,12.2%,"57,355","5,787,062",3,8.75,7.75
2012-05-18,504,15.8%,"2,207",17.7%,"490,711",22.4%,17.8%,"87,293","5,874,355",3,8.75,7.75
2012-05-19,573,16.2%,"2,541",19.2%,"559,900",24.1%,45.1%,"252,465","6,126,820",1,8.75,7.75
2012-05-20,576,16.3%,"2,456",19.3%,"539,950",24.1%,42.0%,"226,787","6,353,607",2,8.75,7.75
2012-05-21,469,15.5%,"2,032",17.5%,"448,522",21.8%,9.6%,"43,248","6,396,855",3,8.75,7.75
2012-05-22,471,15.4%,"2,006",17.4%,"443,249",21.6%,8.4%,"37,343","6,434,198",3,8.75,7.75
2012-05-23,479,15.6%,"2,018",17.5%,"444,142",21.6%,8.3%,"36,806","6,471,004",3,8.75,7.75
2012-05-24,337,11.4%,"1,316",11.0%,"207,629",9.6%,10.3%,"21,302","6,492,306",4,8.75,7.75
2012-05-25,355,11.8%,"1,403",11.2%,"220,720",9.8%,16.8%,"37,061","6,529,367",4,8.75,7.75
2012-05-26,364,10.5%,"1,438",10.5%,"225,520",9.3%,45.5%,"102,698","6,632,065",3,8.75,7.75
2012-05-27,368,10.6%,"1,433",10.5%,"224,989",9.3%,54.0%,"121,427","6,753,492",3,8.75,7.75
2012-05-28,369,10.8%,"1,407",10.7%,"221,750",9.4%,54.4%,"120,554","6,874,046",3,8.75,7.75
2012-05-29,336,11.3%,"1,318",11.2%,"206,376",9.7%,9.0%,"18,475","6,892,521",4,8.75,7.75
2012-05-30,243,8.2%,697,5.7%,"101,088",4.6%,10.0%,"10,113","6,902,634",7,8.75,7.75
2012-05-31,243,8.3%,666,5.3%,"95,770",4.3%,10.7%,"10,284","6,912,918",7,8.75,7.75
2012-06-01,246,8.3%,709,5.4%,"103,396",4.5%,13.1%,"13,507","6,926,425",7,8.75,7.75
2012-06-02,282,8.4%,828,5.9%,"126,553",5.1%,34.2%,"43,325","6,969,750",6,8.75,7.75
2012-06-03,281,8.3%,782,5.8%,"119,089",5.0%,33.6%,"39,973","7,009,723",6,8.75,7.75
2012-06-04,237,8.4%,677,5.5%,"100,119",4.6%,7.8%,"7,812","7,017,535",7,8.75,7.75
2012-06-05,217,6.0%,511,4.0%,"74,142",3.3%,10.6%,"7,835","7,025,370",8,8.75,7.75
2012-06-06,67,1.9%,123,0.9%,"16,138",0.7%,60.2%,"9,709","7,035,079",9,8.75,7.75
2012-06-07,56,1.8%,108,0.9%,"15,200",0.7%,11.2%,"1,705","7,036,784",9,8.75,7.75
2012-06-08,63,1.9%,120,0.9%,"16,478",0.7%,13.1%,"2,156","7,038,940",9,8.75,7.75
2012-06-09,71,1.9%,136,1.0%,"18,378",0.7%,38.9%,"7,140","7,046,080",9,8.75,7.75
2012-06-10,64,1.7%,126,0.9%,"17,131",0.7%,40.4%,"6,915","7,052,995",9,8.75,7.75
2012-06-11,61,1.9%,119,1.0%,"16,959",0.8%,9.1%,"1,551","7,054,546",11,8.75,7.75
2012-06-12,59,1.9%,112,0.9%,"15,557",0.7%,8.4%,"1,306","7,055,852",9,8.75,7.75
2012-06-13,60,1.9%,118,1.0%,"16,486",0.8%,8.2%,"1,353","7,057,205",9,8.75,7.75
2012-06-14,26,0.8%,49,0.4%,"6,029",0.3%,12.4%,747,"7,057,952",16,8.75,7.75
2012-06-15,28,0.8%,59,0.4%,"7,488",0.3%,15.4%,"1,152","7,059,104",13,8.75,7.75
2012-06-16,38,1.0%,74,0.5%,"11,949",0.5%,29.0%,"3,464","7,062,568",12,8.75,7.75
2012-06-17,35,0.9%,69,0.5%,"11,098",0.5%,28.7%,"3,181","7,065,749",11,8.75,7.75
2012-06-18,26,0.8%,54,0.4%,"7,137",0.3%,10.5%,747,"7,066,496",15,8.75,7.75
2012-06-19,26,0.8%,54,0.4%,"8,142",0.4%,9.5%,770,"7,067,266",15,8.75,7.75
2012-06-20,24,0.7%,52,0.4%,"7,153",0.3%,10.4%,743,"7,068,009",14,8.75,7.75
2012-06-21,10,0.3%,20,0.2%,"2,376",0.1%,17.7%,421,"7,068,430",21,8.75,7.75
2012-06-22,11,0.3%,20,0.2%,"2,410",0.1%,23.8%,574,"7,069,004",18,8.75,7.75
2012-06-23,14,0.4%,26,0.2%,"3,496",0.1%,34.8%,"1,218","7,070,222",18,8.75,7.75
2012-06-24,13,0.3%,26,0.2%,"3,485",0.1%,40.5%,"1,412","7,071,634",17,8.75,7.75
2012-06-25,9,0.3%,18,0.1%,"2,128",0.1%,20.4%,434,"7,072,068",20,8.75,7.75
2012-06-26,9,0.3%,18,0.1%,"2,128",0.1%,20.4%,434,"7,072,502",22,8.75,7.75
2012-06-27,9,0.3%,18,0.1%,"2,130",0.1%,20.3%,433,"7,072,935",19,8.75,7.75
2012-06-28,1,0.0%,2,0.0%,636,0.0%,2.2%,14,"7,072,949",45,8.75,7.75
2012-06-29,1,0.0%,2,0.0%,636,0.0%,5.3%,34,"7,072,983",71,8.75,7.75
2012-06-30,1,0.0%,2,0.0%,168,0.0%,32.1%,54,"7,073,037",78,8.75,7.75
2012-07-01,1,0.0%,2,0.0%,168,0.0%,41.7%,70,"7,073,107",65,8.75,7.75
2012-07-02,1,0.0%,2,0.0%,636,0.0%,5.2%,33,"7,073,140",72,8.75,7.75
2012-07-03,1,0.0%,2,0.0%,636,0.0%,5.7%,36,"7,073,176",81,8.75,7.75
2012-07-04,1,0.0%,2,0.0%,636,0.0%,7.7%,49,"7,073,225",41,8.75,7.75
2012-07-05,1,0.0%,1,0.0%,226,0.0%,12.8%,29,"7,073,254",41,8.75,7.75
2012-07-06,1,0.0%,1,0.0%,226,0.0%,9.7%,22,"7,073,276",45,8.75,7.75
2012-07-07,2,0.1%,2,0.0%,176,0.0%,43.2%,76,"7,073,352",34,8.75,7.75
2012-07-08,2,0.1%,2,0.0%,176,0.0%,42.6%,75,"7,073,427",31,8.75,7.75
2012-07-09,2,0.1%,3,0.0%,268,0.0%,20.9%,56,"7,073,483",33,8.75,7.75
2012-07-10,2,0.1%,3,0.0%,268,0.0%,15.7%,42,"7,073,525",37,8.75,7.75
2012-07-11,2,0.1%,4,0.0%,352,0.0%,16.8%,59,"7,073,584",29,8.75,7.75
