날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2008-06-12,388,16.9%,"2,147",19.2%,"477,309",23.4%,15.3%,"73,229","73,267",1,8.27,6
2008-06-13,387,16.7%,"2,212",18.7%,"495,929",23.2%,15.9%,"78,839","152,106",2,8.27,6
2008-06-14,417,16.1%,"2,302",17.8%,"496,119",21.3%,38.8%,"192,369","344,475",2,8.27,6
2008-06-15,417,16.3%,"2,190",17.8%,"466,144",21.0%,39.2%,"182,853","527,328",2,8.27,6
2008-06-16,372,16.2%,"2,057",18.7%,"455,309",22.8%,10.7%,"48,609","575,937",2,8.27,6
2008-06-17,375,16.1%,"2,043",18.6%,"455,277",22.8%,9.9%,"44,965","620,902",2,8.27,6
2008-06-18,380,14.2%,"1,889",17.3%,"404,409",20.4%,9.4%,"37,889","658,791",3,8.27,6
2008-06-19,278,11.6%,"1,389",12.7%,"235,790",11.9%,9.3%,"21,976","680,767",3,8.27,6
2008-06-20,279,11.6%,"1,433",12.5%,"239,616",11.6%,12.2%,"29,312","710,079",3,8.27,6
2008-06-21,327,11.4%,"1,504",12.1%,"243,434",11.0%,35.9%,"87,512","797,591",3,8.27,6
2008-06-22,301,10.9%,"1,436",12.1%,"231,687",10.9%,33.8%,"78,220","875,811",3,8.27,6
2008-06-23,277,11.5%,"1,341",12.4%,"226,974",11.6%,8.3%,"18,757","894,568",3,8.27,6
2008-06-24,281,11.3%,"1,339",12.4%,"228,204",11.7%,8.1%,"18,502","913,070",3,8.27,6
2008-06-25,258,9.2%,"1,041",9.7%,"172,814",8.9%,7.0%,"12,153","925,223",6,8.27,6
2008-06-26,190,7.7%,523,4.9%,"73,662",3.8%,6.9%,"5,048","930,271",6,8.27,6
2008-06-27,192,7.8%,557,5.0%,"77,274",3.8%,9.0%,"6,921","937,192",6,8.27,6
2008-06-28,195,7.3%,565,4.6%,"75,849",3.4%,26.8%,"20,337","957,529",5,8.27,6
2008-06-29,192,7.3%,544,4.6%,"72,927",3.4%,26.5%,"19,325","976,854",5,8.27,6
2008-06-30,186,7.6%,534,4.9%,"74,716",3.8%,7.1%,"5,282","982,136",6,8.27,6
2008-07-01,181,7.3%,530,4.9%,"73,925",3.7%,7.2%,"5,322","987,458",6,8.27,6
2008-07-02,35,1.4%,63,0.5%,"8,912",0.4%,3.5%,310,"987,768",15,8.27,6
2008-07-03,27,1.1%,42,0.4%,"5,906",0.3%,2.9%,174,"987,942",22,8.27,6
2008-07-04,27,1.1%,48,0.4%,"6,625",0.3%,4.6%,302,"988,244",15,8.27,6
2008-07-05,30,1.1%,54,0.4%,"6,901",0.3%,13.7%,945,"989,189",13,8.27,6
2008-07-06,30,1.1%,55,0.4%,"7,201",0.3%,10.5%,757,"989,946",13,8.27,6
2008-07-07,26,1.1%,49,0.4%,"6,703",0.3%,3.8%,253,"990,199",15,8.27,6
2008-07-08,27,1.1%,46,0.4%,"6,374",0.3%,3.8%,243,"990,442",19,8.27,6
2008-07-09,24,1.0%,45,0.4%,"6,032",0.3%,4.5%,274,"990,716",16,8.27,6
2008-07-10,2,0.1%,5,0.0%,715,0.0%,10.5%,75,"990,791",28,8.27,6
2008-07-11,2,0.1%,8,0.1%,"1,104",0.1%,7.1%,78,"990,869",29,8.27,6
2008-07-12,3,0.1%,10,0.1%,"1,127",0.0%,5.4%,61,"990,930",30,8.27,6
2008-07-13,3,0.1%,10,0.1%,"1,127",0.1%,6.8%,77,"991,007",29,8.27,6
2008-07-14,3,0.1%,6,0.1%,575,0.0%,4.7%,27,"991,034",33,8.27,6
2008-07-15,3,0.1%,10,0.1%,"1,127",0.1%,2.2%,25,"991,059",37,8.27,6
2008-07-16,3,0.1%,5,0.0%,452,0.0%,3.1%,14,"991,073",43,8.27,6
2008-07-18,1,0.0%,1,0.0%,120,0.0%,0.8%,1,"991,074",63,8.27,6
2008-07-19,1,0.0%,3,0.0%,360,0.0%,4.7%,17,"991,091",35,8.27,6
2008-07-20,1,0.0%,3,0.0%,360,0.0%,7.5%,27,"991,118",32,8.27,6
2008-07-21,1,0.0%,2,0.0%,240,0.0%,76.7%,184,"991,302",19,8.27,6
2008-07-22,1,0.0%,3,0.0%,360,0.0%,31.9%,115,"991,417",21,8.27,6
