날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2019-03-06,"2,017",40.0%,"11,021",61.0%,"1,967,212",69.3%,23.4%,"461,134","461,758",1,8.45,6.86
2019-03-07,"1,997",38.1%,"10,954",61.1%,"1,957,169",69.4%,16.0%,"312,694","774,452",1,8.45,6.86
2019-03-08,"2,014",37.9%,"11,220",61.1%,"1,996,701",69.4%,20.7%,"413,068","1,187,520",1,8.45,6.86
2019-03-09,"2,100",36.1%,"12,039",62.1%,"2,112,756",70.2%,47.4%,"1,001,712","2,189,232",1,8.45,6.86
2019-03-10,"2,089",36.3%,"11,734",62.0%,"2,066,036",70.2%,41.0%,"847,394","3,036,626",1,8.45,6.86
2019-03-11,"1,915",38.1%,"10,379",60.7%,"1,865,227",69.0%,9.1%,"170,529","3,207,155",1,8.45,6.86
2019-03-12,"1,935",37.5%,"10,223",60.4%,"1,832,839",68.5%,7.5%,"137,977","3,345,132",1,8.45,6.86
2019-03-13,"1,874",33.8%,"9,673",56.5%,"1,749,763",64.7%,7.2%,"126,639","3,471,771",1,8.45,6.86
2019-03-14,"1,624",28.9%,"8,353",47.2%,"1,539,396",55.3%,7.6%,"116,329","3,588,100",1,8.45,6.86
2019-03-15,"1,648",29.2%,"8,789",48.1%,"1,609,194",56.2%,10.8%,"173,930","3,762,030",1,8.45,6.86
2019-03-16,"1,779",26.6%,"9,428",48.1%,"1,706,573",56.3%,27.7%,"472,295","4,234,325",1,8.45,6.86
2019-03-17,"1,751",26.7%,"9,123",48.0%,"1,660,538",56.2%,22.0%,"365,797","4,600,122",1,8.45,6.86
2019-03-18,"1,592",29.5%,"8,043",47.7%,"1,491,551",55.9%,5.6%,"82,944","4,683,066",1,8.45,6.86
2019-03-19,"1,599",29.0%,"7,813",47.3%,"1,449,516",55.5%,5.0%,"72,224","4,755,290",1,8.45,6.86
2019-03-20,729,13.7%,"2,840",17.0%,"486,417",18.4%,9.5%,"46,019","4,801,309",2,8.45,6.86
2019-03-21,738,14.1%,"2,923",16.8%,"499,243",18.1%,9.1%,"45,256","4,846,565",2,8.45,6.86
2019-03-22,812,15.3%,"3,252",18.3%,"550,067",19.6%,11.9%,"65,373","4,911,938",2,8.45,6.86
2019-03-23,938,16.4%,"3,821",20.0%,"618,150",20.7%,28.9%,"178,487","5,090,425",2,8.45,6.86
2019-03-24,947,16.6%,"3,768",20.2%,"610,942",20.9%,23.3%,"142,380","5,232,805",2,8.45,6.86
2019-03-25,785,16.0%,"3,330",19.7%,"563,351",20.9%,5.8%,"32,899","5,265,704",2,8.45,6.86
2019-03-26,806,15.9%,"3,285",19.6%,"557,079",20.8%,5.3%,"29,769","5,295,473",2,8.45,6.86
2019-03-27,636,10.2%,"1,848",10.3%,"273,159",9.6%,17.0%,"46,503","5,341,976",3,8.45,6.86
2019-03-28,552,9.4%,"1,616",9.1%,"238,537",8.5%,9.9%,"23,510","5,365,486",3,8.45,6.86
2019-03-29,571,9.8%,"1,715",9.4%,"250,875",8.7%,12.3%,"30,748","5,396,234",3,8.45,6.86
2019-03-30,619,9.8%,"1,895",9.7%,"266,104",8.7%,29.1%,"77,530","5,473,764",4,8.45,6.86
2019-03-31,620,9.8%,"1,825",9.5%,"258,098",8.6%,26.0%,"67,187","5,540,951",4,8.45,6.86
2019-04-01,557,10.1%,"1,718",9.9%,"251,234",9.2%,7.6%,"19,069","5,560,020",4,8.45,6.86
2019-04-02,562,10.1%,"1,692",10.0%,"252,084",9.4%,6.0%,"15,197","5,575,217",4,8.45,6.86
2019-04-03,342,6.4%,667,3.9%,"88,382",3.3%,8.7%,"7,681","5,582,898",7,8.45,6.86
2019-04-04,340,6.1%,643,3.8%,"86,667",3.2%,8.8%,"7,670","5,590,568",6,8.45,6.86
2019-04-05,371,6.4%,703,4.0%,"93,524",3.4%,11.8%,"11,038","5,601,606",6,8.45,6.86
2019-04-06,407,6.5%,780,4.1%,"101,577",3.5%,26.2%,"26,649","5,628,255",7,8.45,6.86
2019-04-07,421,6.8%,797,4.3%,"105,248",3.7%,20.6%,"21,687","5,649,942",7,8.45,6.86
2019-04-08,374,6.9%,784,4.8%,"106,522",4.2%,6.4%,"6,842","5,656,784",6,8.45,6.86
2019-04-09,383,7.0%,778,4.9%,"106,698",4.3%,6.1%,"6,522","5,663,306",6,8.45,6.86
2019-04-10,231,4.1%,440,2.6%,"63,280",2.4%,6.9%,"4,378","5,667,684",9,8.45,6.86
2019-04-11,175,2.9%,279,1.6%,"39,876",1.5%,7.2%,"2,881","5,670,565",12,8.45,6.86
