날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2016-04-27,"1,864",40.4%,"9,067",63.4%,"1,672,930",71.3%,43.5%,"727,949","729,213",1,8.83,7.5
2016-04-28,"1,809",40.0%,"9,022",62.7%,"1,672,996",70.8%,28.3%,"474,023","1,203,236",1,8.83,7.5
2016-04-29,"1,866",40.5%,"9,364",63.6%,"1,722,230",71.5%,37.1%,"638,973","1,842,209",1,8.83,7.5
2016-04-30,"1,991",42.7%,"10,341",68.2%,"1,872,135",75.7%,61.0%,"1,142,509","2,984,718",1,8.83,7.5
2016-05-01,"1,969",42.9%,"10,070",68.4%,"1,831,700",75.8%,51.9%,"949,797","3,934,515",1,8.83,7.5
2016-05-02,"1,848",42.0%,"9,022",64.7%,"1,664,078",72.3%,15.8%,"262,274","4,196,789",1,8.83,7.5
2016-05-03,"1,846",40.7%,"8,966",63.7%,"1,657,438",71.6%,15.1%,"249,924","4,446,713",1,8.83,7.5
2016-05-04,"1,712",35.6%,"8,268",55.3%,"1,530,102",62.4%,27.8%,"424,827","4,871,540",1,8.83,7.5
2016-05-05,"1,792",33.4%,"8,566",52.1%,"1,572,012",58.8%,56.4%,"886,759","5,758,299",1,8.83,7.5
2016-05-06,"1,777",34.0%,"8,596",53.1%,"1,583,963",60.3%,42.7%,"676,335","6,434,634",1,8.83,7.5
2016-05-07,"1,749",33.7%,"8,546",52.9%,"1,582,200",60.3%,33.2%,"525,375","6,960,009",1,8.83,7.5
2016-05-08,"1,723",33.9%,"8,175",52.7%,"1,520,699",60.2%,25.4%,"386,959","7,346,968",1,8.83,7.5
2016-05-09,"1,599",37.3%,"7,380",54.6%,"1,384,563",61.9%,8.6%,"118,785","7,465,753",1,8.83,7.5
2016-05-10,"1,589",37.1%,"7,210",54.1%,"1,353,706",61.4%,7.5%,"101,692","7,567,445",1,8.83,7.5
2016-05-11,"1,450",28.4%,"5,435",41.2%,"1,023,988",46.8%,7.9%,"80,698","7,648,143",2,8.83,7.5
2016-05-12,864,20.0%,"3,649",26.4%,"661,912",29.1%,9.9%,"65,539","7,713,682",2,8.83,7.5
2016-05-13,889,19.4%,"3,647",25.6%,"656,290",28.1%,16.7%,"109,274","7,822,956",2,8.83,7.5
2016-05-14,794,15.6%,"3,295",21.8%,"568,955",23.2%,41.6%,"236,541","8,059,497",2,8.83,7.5
2016-05-15,777,15.4%,"3,092",21.1%,"535,735",22.4%,34.1%,"182,651","8,242,148",2,8.83,7.5
2016-05-16,729,17.0%,"2,909",21.5%,"484,151",21.7%,9.7%,"46,865","8,289,013",2,8.83,7.5
2016-05-17,718,16.6%,"2,761",20.8%,"455,276",20.8%,7.4%,"33,698","8,322,711",2,8.83,7.5
2016-05-18,699,16.0%,"2,668",19.9%,"433,565",19.7%,7.5%,"32,729","8,355,440",2,8.83,7.5
2016-05-19,463,10.0%,"1,363",9.6%,"209,063",9.0%,10.5%,"21,987","8,377,427",4,8.83,7.5
2016-05-20,479,10.0%,"1,394",9.5%,"208,608",8.7%,15.8%,"33,048","8,410,475",3,8.83,7.5
2016-05-21,505,9.6%,"1,437",9.3%,"210,863",8.4%,37.3%,"78,634","8,489,109",3,8.83,7.5
2016-05-22,518,9.9%,"1,410",9.4%,"209,534",8.6%,33.9%,"71,125","8,560,234",3,8.83,7.5
2016-05-23,446,9.9%,"1,325",9.5%,"203,314",8.9%,8.9%,"18,187","8,578,421",4,8.83,7.5
2016-05-24,443,9.6%,"1,310",9.4%,"201,630",8.8%,8.6%,"17,380","8,595,801",4,8.83,7.5
2016-05-25,267,5.2%,445,3.2%,"59,656",2.6%,14.3%,"8,537","8,604,338",6,8.83,7.5
2016-05-26,242,4.9%,413,3.0%,"56,069",2.4%,10.0%,"5,591","8,609,929",6,8.83,7.5
2016-05-27,242,4.8%,413,2.9%,"54,867",2.3%,14.3%,"7,820","8,617,749",6,8.83,7.5
2016-05-28,232,4.4%,370,2.4%,"48,846",2.0%,35.1%,"17,158","8,634,907",7,8.83,7.5
2016-05-29,236,4.5%,367,2.5%,"48,643",2.0%,32.1%,"15,593","8,650,500",7,8.83,7.5
2016-05-30,238,5.0%,410,3.0%,"55,346",2.4%,9.5%,"5,281","8,655,781",7,8.83,7.5
2016-05-31,235,4.8%,401,2.9%,"55,348",2.5%,9.1%,"5,019","8,660,800",8,8.83,7.5
2016-06-01,44,1.0%,65,0.5%,"8,246",0.3%,11.2%,927,"8,661,727",14,8.83,7.5
2016-06-02,38,0.8%,55,0.4%,"6,736",0.3%,11.7%,785,"8,662,512",16,8.83,7.5
2016-06-03,39,0.8%,56,0.4%,"6,578",0.3%,16.9%,"1,110","8,663,622",13,8.83,7.5
2016-06-04,41,0.8%,58,0.4%,"7,027",0.3%,45.2%,"3,178","8,666,800",13,8.83,7.5
2016-06-05,46,0.9%,66,0.4%,"8,242",0.3%,45.9%,"3,779","8,670,579",13,8.83,7.5
2016-06-06,43,0.8%,64,0.4%,"8,375",0.3%,40.1%,"3,361","8,673,940",14,8.83,7.5
2016-06-07,43,0.9%,64,0.5%,"8,389",0.4%,8.4%,704,"8,674,644",18,8.83,7.5
2016-06-08,42,0.9%,63,0.5%,"8,284",0.4%,8.1%,669,"8,675,313",19,8.83,7.5
2016-06-09,5,0.1%,8,0.1%,868,0.0%,14.1%,122,"8,675,435",37,8.83,7.5
2016-06-10,4,0.1%,8,0.1%,876,0.0%,16.8%,147,"8,675,582",34,8.83,7.5
2016-06-11,5,0.1%,6,0.0%,597,0.0%,44.2%,264,"8,675,846",23,8.83,7.5
2016-06-12,6,0.1%,7,0.0%,"1,013",0.0%,27.2%,276,"8,676,122",22,8.83,7.5
2016-06-13,4,0.1%,6,0.0%,685,0.0%,9.8%,67,"8,676,189",42,8.83,7.5
2016-06-14,4,0.1%,6,0.0%,685,0.0%,12.0%,82,"8,676,271",39,8.83,7.5
2016-06-15,5,0.1%,6,0.0%,726,0.0%,10.7%,78,"8,676,349",43,8.83,7.5
2016-06-16,3,0.1%,3,0.0%,489,0.0%,11.0%,54,"8,676,403",53,8.83,7.5
2016-06-17,4,0.1%,4,0.0%,875,0.0%,18.6%,163,"8,676,566",30,8.83,7.5
2016-06-18,2,0.0%,2,0.0%,458,0.0%,14.0%,64,"8,676,630",51,8.83,7.5
2016-06-19,2,0.0%,2,0.0%,458,0.0%,11.4%,52,"8,676,682",54,8.83,7.5
2016-06-20,3,0.1%,3,0.0%,373,0.0%,18.0%,67,"8,676,749",40,8.83,7.5
2016-06-21,3,0.1%,3,0.0%,365,0.0%,12.1%,44,"8,676,793",45,8.83,7.5
2016-06-22,2,0.0%,3,0.0%,384,0.0%,11.5%,44,"8,676,837",47,8.83,7.5
2016-06-23,1,0.0%,1,0.0%,143,0.0%,20.3%,29,"8,676,866",63,8.83,7.5
2016-06-24,1,0.0%,1,0.0%,143,0.0%,12.6%,18,"8,676,884",76,8.83,7.5
2016-06-25,1,0.0%,1,0.0%,143,0.0%,6.3%,9,"8,676,893",90,8.83,7.5
2016-06-26,1,0.0%,1,0.0%,143,0.0%,25.2%,36,"8,676,929",61,8.83,7.5
2016-06-27,1,0.0%,1,0.0%,143,0.0%,18.9%,27,"8,676,956",63,8.83,7.5
2016-06-28,1,0.0%,1,0.0%,143,0.0%,9.8%,14,"8,676,970",79,8.83,7.5
2016-06-29,2,0.0%,2,0.0%,177,0.0%,24.9%,44,"8,677,014",63,8.83,7.5
2016-06-30,1,0.0%,1,0.0%,143,0.0%,12.6%,18,"8,677,032",70,8.83,7.5
2016-07-01,2,0.0%,2,0.0%,425,0.0%,10.8%,46,"8,677,078",52,8.83,7.5
2016-07-02,1,0.0%,1,0.0%,80,0.0%,23.8%,19,"8,677,097",77,8.83,7.5
2016-07-03,1,0.0%,1,0.0%,80,0.0%,41.3%,33,"8,677,130",62,8.83,7.5
2016-07-04,1,0.0%,1,0.0%,80,0.0%,16.3%,13,"8,677,143",60,8.83,7.5
2016-07-05,1,0.0%,1,0.0%,80,0.0%,17.5%,14,"8,677,157",71,8.83,7.5
2016-07-06,1,0.0%,1,0.0%,80,0.0%,22.5%,18,"8,677,175",79,8.83,7.5
2016-07-07,1,0.0%,1,0.0%,80,0.0%,12.5%,10,"8,677,185",84,8.83,7.5
2016-07-08,1,0.0%,1,0.0%,80,0.0%,12.5%,10,"8,677,195",99,8.83,7.5
2016-07-09,1,0.0%,1,0.0%,35,0.0%,57.1%,20,"8,677,215",95,8.83,7.5
2016-07-10,1,0.0%,1,0.0%,35,0.0%,48.6%,17,"8,677,232",82,8.83,7.5
2016-07-11,2,0.0%,2,0.0%,223,0.0%,3.6%,8,"8,677,240",56,8.83,7.5
2016-07-12,1,0.0%,1,0.0%,200,0.0%,4.5%,9,"8,677,249",69,8.83,7.5
