날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2014-03-26,938,24.9%,"4,467",35.7%,"884,119",42.6%,18.9%,"166,787","167,719",1,8.83,7.28
2014-03-27,995,27.3%,"4,803",38.8%,"944,518",45.9%,14.4%,"135,839","303,558",1,8.83,7.28
2014-03-28,"1,033",27.9%,"5,015",39.1%,"986,609",46.4%,21.4%,"211,127","514,685",1,8.83,7.28
2014-03-29,"1,090",27.1%,"5,585",40.5%,"1,091,948",48.2%,47.1%,"514,736","1,029,421",1,8.83,7.28
2014-03-30,"1,106",28.0%,"5,421",40.8%,"1,060,658",48.5%,41.9%,"444,520","1,473,941",1,8.83,7.28
2014-03-31,993,28.4%,"4,802",39.5%,"954,643",47.1%,12.1%,"115,200","1,589,141",1,8.83,7.28
2014-04-01,"1,013",27.8%,"4,749",39.9%,"947,013",47.5%,9.9%,"93,941","1,683,082",1,8.83,7.28
2014-04-02,961,27.4%,"4,487",38.0%,"901,360",45.5%,9.3%,"83,645","1,766,727",1,8.83,7.28
2014-04-03,847,24.9%,"4,046",32.9%,"843,942",41.2%,9.8%,"83,079","1,849,806",1,8.83,7.28
2014-04-04,870,24.8%,"4,233",32.9%,"882,380",41.3%,15.4%,"136,027","1,985,833",1,8.83,7.28
2014-04-05,926,23.6%,"4,655",33.6%,"959,171",42.1%,35.5%,"340,714","2,326,547",1,8.83,7.28
2014-04-06,907,23.0%,"4,478",33.7%,"926,487",42.2%,30.8%,"285,358","2,611,905",1,8.83,7.28
2014-04-07,853,25.6%,"3,979",33.7%,"831,788",42.0%,8.3%,"68,969","2,680,874",1,8.83,7.28
2014-04-08,864,25.7%,"3,820",33.9%,"800,242",42.3%,7.2%,"57,664","2,738,538",1,8.83,7.28
2014-04-09,857,25.2%,"3,862",33.8%,"807,379",42.1%,7.5%,"60,513","2,799,051",1,8.83,7.28
2014-04-10,657,16.8%,"2,802",21.9%,"577,474",26.9%,9.5%,"54,755","2,853,806",2,8.83,7.28
2014-04-11,682,17.0%,"2,955",22.2%,"608,864",27.4%,14.9%,"90,660","2,944,466",1,8.83,7.28
2014-04-12,703,16.1%,"3,224",22.7%,"647,038",27.5%,31.1%,"201,405","3,145,871",1,8.83,7.28
2014-04-13,708,16.1%,"3,116",22.8%,"623,726",27.5%,28.7%,"178,896","3,324,767",1,8.83,7.28
2014-04-14,648,17.1%,"2,790",22.7%,"575,329",27.9%,7.1%,"40,876","3,365,643",2,8.83,7.28
2014-04-15,661,17.0%,"2,732",22.5%,"565,923",27.8%,6.8%,"38,278","3,403,921",2,8.83,7.28
2014-04-16,505,12.9%,"2,020",16.8%,"397,855",19.8%,7.9%,"31,295","3,435,216",2,8.83,7.28
2014-04-17,465,11.6%,"1,895",15.4%,"377,404",18.4%,7.3%,"27,658","3,462,874",3,8.83,7.28
2014-04-18,501,12.1%,"2,058",15.9%,"406,405",18.9%,11.0%,"44,858","3,507,732",1,8.83,7.28
2014-04-19,560,12.1%,"2,347",16.8%,"453,586",19.8%,24.0%,"108,901","3,616,633",1,8.83,7.28
2014-04-20,556,12.3%,"2,253",16.8%,"437,131",19.7%,20.4%,"89,386","3,706,019",1,8.83,7.28
2014-04-21,491,12.3%,"1,971",16.4%,"389,884",19.4%,6.3%,"24,636","3,730,655",2,8.83,7.28
2014-04-22,486,11.9%,"1,934",16.1%,"382,235",19.1%,5.7%,"21,728","3,752,383",1,8.83,7.28
2014-04-23,321,8.6%,"1,128",9.5%,"165,210",8.3%,6.4%,"10,624","3,763,007",3,8.83,7.28
2014-04-24,323,8.2%,"1,105",9.1%,"158,097",7.8%,7.7%,"12,100","3,775,107",3,8.83,7.28
2014-04-25,337,8.6%,"1,179",9.3%,"165,891",7.9%,12.7%,"21,137","3,796,244",2,8.83,7.28
2014-04-26,368,8.6%,"1,139",8.4%,"157,649",7.1%,26.7%,"42,060","3,838,304",3,8.83,7.28
2014-04-27,369,8.8%,"1,105",8.4%,"152,987",7.1%,28.7%,"43,945","3,882,249",3,8.83,7.28
2014-04-28,325,8.6%,"1,129",9.4%,"162,365",8.2%,8.6%,"13,918","3,896,167",3,8.83,7.28
2014-04-29,324,8.3%,"1,127",9.4%,"162,001",8.2%,9.1%,"14,722","3,910,889",2,8.83,7.28
2014-04-30,124,3.5%,285,2.1%,"34,888",1.6%,15.7%,"5,464","3,916,353",4,8.83,7.28
2014-05-01,48,1.3%,102,0.7%,"11,977",0.5%,27.2%,"3,261","3,919,614",8,8.83,7.28
2014-05-02,50,1.3%,106,0.8%,"12,671",0.6%,32.8%,"4,157","3,923,771",8,8.83,7.28
2014-05-03,45,1.1%,92,0.6%,"10,986",0.5%,44.2%,"4,858","3,928,629",7,8.83,7.28
2014-05-04,49,1.2%,98,0.7%,"11,626",0.5%,52.1%,"6,061","3,934,690",7,8.83,7.28
2014-05-05,44,1.1%,93,0.6%,"11,148",0.5%,61.5%,"6,851","3,941,541",7,8.83,7.28
2014-05-06,50,1.2%,102,0.7%,"12,619",0.5%,42.4%,"5,356","3,946,897",7,8.83,7.28
2014-05-07,53,1.6%,125,1.0%,"15,362",0.7%,10.1%,"1,558","3,948,455",9,8.83,7.28
2014-05-08,47,1.4%,105,0.8%,"15,078",0.7%,8.4%,"1,262","3,949,717",9,8.83,7.28
2014-05-09,48,1.4%,109,0.8%,"15,006",0.7%,14.6%,"2,184","3,951,901",8,8.83,7.28
2014-05-10,47,1.2%,104,0.7%,"13,343",0.6%,30.0%,"4,003","3,955,904",9,8.83,7.28
2014-05-11,47,1.2%,98,0.7%,"12,343",0.5%,26.7%,"3,294","3,959,198",9,8.83,7.28
2014-05-12,40,1.2%,94,0.7%,"14,138",0.7%,6.6%,932,"3,960,130",11,8.83,7.28
2014-05-13,43,1.3%,95,0.8%,"14,264",0.7%,6.2%,879,"3,961,009",10,8.83,7.28
2014-05-14,15,0.5%,26,0.2%,"3,206",0.1%,10.8%,346,"3,961,355",17,8.83,7.28
2014-05-15,5,0.1%,8,0.1%,"1,205",0.1%,13.2%,159,"3,961,514",30,8.83,7.28
2014-05-16,5,0.1%,9,0.1%,"1,270",0.1%,17.2%,219,"3,961,733",20,8.83,7.28
2014-05-17,5,0.1%,9,0.1%,"1,125",0.0%,46.9%,528,"3,962,261",18,8.83,7.28
2014-05-18,5,0.1%,7,0.1%,969,0.0%,45.4%,440,"3,962,701",18,8.83,7.28
2014-05-19,4,0.1%,7,0.1%,930,0.0%,16.8%,156,"3,962,857",23,8.83,7.28
2014-05-20,3,0.1%,6,0.0%,700,0.0%,19.0%,133,"3,962,990",28,8.83,7.28
2014-05-21,5,0.1%,8,0.1%,"1,252",0.1%,11.1%,139,"3,963,129",32,8.83,7.28
2014-05-22,1,0.0%,1,0.0%,121,0.0%,12.4%,15,"3,963,144",54,8.83,7.28
2014-05-23,1,0.0%,1,0.0%,121,0.0%,14.0%,17,"3,963,161",54,8.83,7.28
2014-05-24,1,0.0%,1,0.0%,121,0.0%,14.9%,18,"3,963,179",62,8.83,7.28
2014-05-25,1,0.0%,1,0.0%,121,0.0%,21.5%,26,"3,963,205",47,8.83,7.28
2014-05-26,1,0.0%,1,0.0%,100,0.0%,9.0%,9,"3,963,214",54,8.83,7.28
2014-05-27,1,0.0%,1,0.0%,100,0.0%,18.0%,18,"3,963,232",47,8.83,7.28
2014-05-28,1,0.0%,1,0.0%,121,0.0%,15.7%,19,"3,963,251",57,8.83,7.28
