날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2011-07-28,338,10.2%,"1,677",13.7%,"326,157",14.9%,19.3%,"63,024","63,354",4,7.81,6.22
2011-07-29,339,10.2%,"1,703",13.5%,"327,514",14.6%,19.6%,"64,181","127,535",4,7.81,6.22
2011-07-30,362,10.1%,"1,709",13.1%,"316,362",13.6%,33.2%,"104,875","232,410",4,7.81,6.22
2011-07-31,355,10.0%,"1,650",12.9%,"303,858",13.4%,29.8%,"90,418","322,828",4,7.81,6.22
2011-08-01,339,9.9%,"1,607",12.8%,"296,661",13.3%,18.5%,"54,781","377,609",6,7.81,6.22
2011-08-02,337,9.8%,"1,588",12.7%,"291,732",13.1%,15.7%,"45,926","423,535",6,7.81,6.22
2011-08-03,296,8.3%,"1,226",9.7%,"211,924",9.4%,14.2%,"30,034","453,569",7,7.81,6.22
2011-08-04,247,5.9%,665,4.8%,"102,518",4.1%,11.9%,"12,175","465,744",10,7.81,6.22
2011-08-05,198,5.6%,498,3.7%,"70,906",3.0%,15.2%,"10,774","476,518",8,7.81,6.22
2011-08-06,168,4.5%,360,2.6%,"52,025",2.1%,25.4%,"13,224","489,742",10,7.81,6.22
2011-08-07,166,4.4%,335,2.5%,"48,711",2.0%,20.8%,"10,113","499,855",11,7.81,6.22
2011-08-08,179,5.3%,410,3.1%,"58,595",2.5%,11.6%,"6,811","506,666",9,7.81,6.22
2011-08-09,174,5.1%,397,3.0%,"56,961",2.4%,11.3%,"6,451","513,117",9,7.81,6.22
2011-08-10,32,1.0%,73,0.6%,"9,644",0.4%,11.9%,"1,144","514,261",16,7.81,6.22
